blinded_document_id,subtheme_id,parent_theme,auditor_verdict,category,n_gemini_quotations,gemini_audit_turns,claude_turns
DOC_38E95A714D,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T009|T010|T016|T022,T009
DOC_38E95A714D,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T012|T014|T017|T018,T012
DOC_38E95A714D,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T031|T033,T031|T033
DOC_38E95A714D,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T032|T034|T035,T035
DOC_5CABCEADAF,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T016|T017|T020,T016
DOC_5E7C5B45F7,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,5,T021|T022|T025|T032|T035,T021
DOC_5E7C5B45F7,A.2,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T029,T029
DOC_5E7C5B45F7,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,5,T014|T021|T022|T045|T047,T022|T046
DOC_5E7C5B45F7,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T014|T043,T014
DOC_5E7C5B45F7,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T038|T039,T038
DOC_5E8E19FE05,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T058|T059,T058
DOC_5E8E19FE05,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T019|T020|T063,T020
DOC_5E8E19FE05,B.3,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T049|T050,T049
DOC_5E8E19FE05,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T017|T032|T063,T017|T063
DOC_5E8E19FE05,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T092|T116|T124,T116
DOC_62191FF7A9,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T020|T021|T024,T021
DOC_62191FF7A9,B.1,B) 4N justifications for animal product consumption,AUDITOR_UNRESOLVED,CLAUDE_PRODUCED_NO_GATED_EVIDENCE,3,T022|T023|T024,
DOC_62191FF7A9,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,ADJACENT_CODE_DIVERGENCE,5,T014|T017|T019|T020|T024,T018
DOC_62191FF7A9,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T018|T026|T034,T034
DOC_7360E12D6B,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T017|T018|T031,T017
DOC_7360E12D6B,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T017|T018|T030|T031,T018
DOC_7360E12D6B,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T011|T012|T031,T031
DOC_7CB3BED8F8,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T020|T021,T020
DOC_7CB3BED8F8,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,5,T015|T016|T019|T020|T021,T020|T021
DOC_7CB3BED8F8,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T018|T019,T018
DOC_87E9A953B6,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T029|T031,T029
DOC_87E9A953B6,A.2,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T023|T026,T023|T026
DOC_87E9A953B6,B.1,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T048,T048
DOC_87E9A953B6,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T044|T045,T044
DOC_87E9A953B6,B.3,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T036|T037|T038,T036
DOC_87E9A953B6,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T041,T041
DOC_87E9A953B6,C.1,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T048|T053,T048
DOC_87E9A953B6,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T042|T053,T042
DOC_C71426C1B1,A.2,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,5,T013|T014|T015|T016|T017,T013
DOC_C71426C1B1,A.3,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T014|T015,T014
DOC_C71426C1B1,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T028|T030,T028
DOC_C71426C1B1,B.4,B) 4N justifications for animal product consumption,AUDITOR_UNRESOLVED,SAME_TURN_SAME_SPEAKER,2,T007|T030,T030
DOC_C71426C1B1,C.1,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,4,T021|T023|T024|T027,T024
DOC_C71426C1B1,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T021|T024|T032,T024
DOC_C71426C1B1,D,D) Extreme cases,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T030,T030
DOC_DB7286F644,A.1,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,5,T020|T021|T026|T027|T031,T020
DOC_DB7286F644,B.2,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T026,T026
DOC_DC66FA1DAE,A.2,A) Gender does(n't) matter,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T018|T020|T021,T018
DOC_DC66FA1DAE,B.3,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,1,T034,T034
DOC_DC66FA1DAE,B.4,B) 4N justifications for animal product consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T029|T034,T029|T034
DOC_DC66FA1DAE,C.1,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T026|T035|T038,T035
DOC_DC66FA1DAE,C.3,C) 4N justifications against plant-based consumption,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,2,T024|T035,T024
DOC_DC66FA1DAE,D,D) Extreme cases,AUDITOR_EVIDENCE_FOUND,SAME_TURN_SAME_SPEAKER,3,T025|T026|T030,T025|T026
