metric_id,tier,category,evidence_class,namespace,unit_of_analysis,definition,numerator,denominator,aggregation,notes_and_caveats
evidence_localized_length_matched_recall,D2 proxy,exploratory (evidence localisation),EXPLORATORY,_comparable_window,excerpt,"PROXY for tier1_length_matched_recall, measuring a DIFFERENT ESTIMAND: where already-coded verified evidence falls within K contiguous entry-aligned excerpts, NOT what a coder would find given the excerpt alone.",subthemes with verified evidence localised in the excerpt AND present in the human transcript,human present quote-verified subthemes,mean and SD over K excerpts -> per run -> per FG x condition,"ADDED 2026-07-30 as a substitute operationalisation; the original specification asked for recomputation on independently coded excerpts, not this derivation. The evaluator read the WHOLE window, so a code localised in excerpt k was identified with surrounding context, and a code a coder would find in the excerpt alone may carry no quote there. Not comparable to tier1_length_matched_* and never to be reported under that name. Excerpts: K=10 where enough eligible starts exist, contiguous, never cutting a turn, no wrap-around, tolerance 0.90 of target; K and any shortfall reason recorded. See frozen_evaluation_spec.md Amendment A1."
evidence_localized_length_matched_precision,D2 proxy,exploratory (evidence localisation),EXPLORATORY,_comparable_window,excerpt,"PROXY for tier1_length_matched_precision, measuring a DIFFERENT ESTIMAND: where already-coded verified evidence falls within K contiguous entry-aligned excerpts, NOT what a coder would find given the excerpt alone.",subthemes with verified evidence localised in the excerpt AND present in the human transcript,subthemes with verified evidence localised in the excerpt,mean and SD over K excerpts -> per run -> per FG x condition,"ADDED 2026-07-30 as a substitute operationalisation; the original specification asked for recomputation on independently coded excerpts, not this derivation. The evaluator read the WHOLE window, so a code localised in excerpt k was identified with surrounding context, and a code a coder would find in the excerpt alone may carry no quote there. Not comparable to tier1_length_matched_* and never to be reported under that name. Excerpts: K=10 where enough eligible starts exist, contiguous, never cutting a turn, no wrap-around, tolerance 0.90 of target; K and any shortfall reason recorded. See frozen_evaluation_spec.md Amendment A1."
tier2_open_themes,Tier 2,exploratory,EXPLORATORY,_comparable_window,focus group,Inductive open-theme extraction over the whole comparable window with no codebook,-,-,per run -> per FG x condition -> per study replicate,Codebook-free and deliberately a separate call from Tier 1.
tier2_not_observed_in_human_themes,Tier 2,exploratory,EXPLORATORY,_comparable_window,focus group,Synthetic themes with no match in the paired human transcript,unmatched synthetic themes,synthetic themes,per run -> per FG x condition,"Reported as NOT OBSERVED IN THE PAIRED HUMAN TRANSCRIPT. Never as false, hallucinated or invalid."
tier2_missed_themes,Tier 2,exploratory,EXPLORATORY,_comparable_window,focus group,Human themes with no match in the paired synthetic window,unmatched human themes,human themes,per run -> per FG x condition,
saturation_curve,Tier 2,exploratory,EXPLORATORY,_comparable_window,study replicate,Cumulative distinct themes as focus groups are added in sequence,-,-,per study replicate x condition,Test sensitivity to FG1-FG5 ordering; retain curves and totals; never claim population saturation.
theme_recurrence_across_groups,Tier 2,exploratory,EXPLORATORY,_comparable_window,study replicate,Number of the five groups in which a theme appears,groups containing the theme,5,per study replicate x condition,
tier2b_section_theme_lists,Tier 2b,descriptive,RETIRED_NOT_FOR_FIDELITY,_comparable_window,guide section,Quote-verified theme lists per guide question,-,-,descriptive listing only,"RETIRED per docs/findings/2026-07-29_tier2b_cross_section_control.md. Tier 2b recall/precision must not appear in any outcome, score, recommendation or fidelity claim. Lists may be shown as description only."
attribute_attitude_relational_fidelity,exploratory,exploratory,EXPLORATORY,_comparable_window,focus group,Whether the group-level direction between attribute composition and expressed stance is preserved,-,-,per FG -> ranking across 5 groups,"Gated: requires a pre-specified relation set and a quote-grounded attitudinal outcome defined BEFORE results are seen. FG3 is GROUP_LEVEL_ONLY_RANDOM_LINKAGE. In enriched, attributes are INPUTS, so correspondence shows preserved conditioning, not held-out prediction. Sensitivity with and without FG3."
forced_silence_count,operational,operational metadata,AUTOMATIC_DIAGNOSTIC,_full_run_operational,synthetic run,Participants silenced by an engagement-assessment technical fault rather than a modelled choice,engagement assessments ending in a terminal forced silence,engagement assessments in the FULL run,per run,OPERATIONAL NAMESPACE. Never pooled or graphed with _comparable_window metrics. Preserved per run in api_failure_and_fallback_audit.csv. D8 DECLINED: no forced-silence sensitivity analysis is run in this evaluation; retained as operational metadata and a documented limitation only.
forced_silence_rate,operational,operational metadata,AUTOMATIC_DIAGNOSTIC,_full_run_operational,synthetic run,forced_silence_count as a proportion of engagement assessments,forced silences,engagement assessments in the FULL run,per run,As above. D8 DECLINED: not used as a predictor; no sensitivity analysis in this evaluation.
api_error_rate,operational,operational metadata,AUTOMATIC_DIAGNOSTIC,_full_run_operational,synthetic run,API calls returning an error,error calls,all API calls in the FULL run,per run,Operational namespace.
response_truncation_rate,operational,operational metadata,AUTOMATIC_DIAGNOSTIC,_full_run_operational,synthetic run,Participant responses stopped by the token cap,responses with response_truncated=true,participant response generations in the FULL run,per run,Corpus value is 0 across all 30 runs.
full_run_total_words,operational,operational metadata,AUTOMATIC_DIAGNOSTIC,_full_run_operational,synthetic run,Total words in the FULL source transcript including introduction and closing,-,-,per run,OPERATIONAL ONLY. Not comparable to human word counts; use the _comparable_window equivalent for any human comparison.
mator_conversational_completeness,exploratory,exploratory,AUTOMATIC_PROXY_EXPLORATORY,_comparable_window,focus group,"Share of the prompted discussion-guide topics actually reached. A topic counts as reached when its guide section carries at least one participant turn: synthetic sections come from the logged moderator section_transition, human sections from the 'Question N.' header convention (both via scripts/tier2b_segmentation.py). Reported beside an independent token-match reading that does not consult section labels at all: a topic counts as reached when some moderator turn in the window carries at least half of that question's distinctive content tokens.",substantive guide sections (1-5) with >=1 participant turn,5 substantive guide sections (0 introduction and 6 closing excluded: outside the comparable window and absent from the human transcripts),per run -> per FG x condition,"Mator-comparable proxy. Mator et al. (2025), 'Exploring Accessible Focus Groups with Cognitive Persona Generation and AI Agents', Table 4 (n=3 per side): 'Conversational completeness', AI 100%, Human 100%. Measures whether the topic was reached, not how well it was covered. On the human side a missing 'Question N.' header makes the topic unmeasurable rather than proven absent - fg5 has no Question 4 header and its material, if present, sits inside section 3, so human fg5 reads 4/5 and is the only unit of the 35 below 5/5. In 2 synthetic runs (macho_meals_fg1_demoonly_run01, macho_meals_fg4_demoonly_run01) the moderator asked question 1 while still inside guide section 0, so the label-based reading reaches the right answer by the wrong route: it counts 5 labels, and those labels carry Q2, Q2, Q3, Q4, Q5 while Q1 sits in label 0. All five questions were in fact asked - verifiable row by row in mator_completeness_openers.csv, which pairs every section-opening moderator turn with the guide question its label is supposed to carry. An automatic token-overlap cross-check was built and REMOVED rather than shipped: Q2's only content token (decide) is contained in Q4 (decided), so every setting flagged all 35 units. Computed by scripts/mator_completeness.py."
mator_relevance_of_response_bertscore_f1,exploratory,exploratory,AUTOMATIC_PROXY_EXPLORATORY,_comparable_window,turn,"BERTScore F1 (Zhang et al., 2019) between each participant turn and the most recent preceding moderator turn inside the comparable window. Actual bert-score package, roberta-large layer 17, no idf, no baseline rescaling - NOT sentence-transformer cosine.",-,participant turns with a preceding moderator turn in the window,mean over participant turns -> per run -> per FG x condition,"Mator-comparable proxy. Mator et al. (2025), 'Exploring Accessible Focus Groups with Cognitive Persona Generation and AI Agents', Table 4 (n=3 per side): 'Relevance of Response', AI 83%, Human 82%. (1) SCALE: the EXPECTED raw F1 for unrelated fluent English at this model/layer is 0.8312 (the package's rescaling baseline - a mean over a random-pair corpus, not a hard floor; unrelated pairs land on both sides of it), so a raw value in the 0.80-0.95 band is not by itself evidence of relevance and the baseline-rescaled companion should carry any substantive claim. Whether Mator's 83%/82% sit at that expectation is CONDITIONAL on a configuration their paper does not report: the same expectation is 0.35 for bert-base-uncased and 0.81 for roberta-base. Do not state it unconditionally. (2) LENGTH: synthetic participant turns average ~3.5x human ones and the synthetic moderator ~3x, and this project has already shown length drives most of the analogous published gap; a length-matched companion (both sides truncated to W = median human participant turn words for that FG) is reported beside the raw figure and is the one to quote for a fidelity claim. (3) 'The question it responds to' is the most recent preceding moderator turn, which includes mid-section probes; a variant scored against the section-opening question only is reported beside it. (4) Encoder truncates at 512 tokens, which bites the long (synthetic) side first. Computed by scripts/mator_bertscore_metrics.py; all 35 units."
mator_between_participant_similarity_bertscore_f1,exploratory,exploratory,AUTOMATIC_PROXY_EXPLORATORY,_comparable_window,guide section,"BERTScore F1 between all cross-speaker pairs of participant turns within a guide section, averaged within the section and then across sections. Actual bert-score package, roberta-large layer 17, no idf, no baseline rescaling - NOT sentence-transformer cosine.",-,cross-speaker participant-turn pairs within each qualifying guide section,mean within section -> mean across sections -> per run -> per FG x condition,"Mator-comparable proxy. Mator et al. (2025), 'Exploring Accessible Focus Groups with Cognitive Persona Generation and AI Agents', Table 4 (n=3 per side): 'Response similarity between participants', AI 91%, Human 83%. Mator asked 7 fixed questions once each; these sessions run emergent within guide SECTIONS, so 'responses to the same question' is operationalised as 'participant turns in the same guide section' - a wider unit than theirs. Carries the same SCALE and LENGTH caveats as mator_relevance_of_response_bertscore_f1, including its length-matched companion. UNIVERSE: 2 of the 30 synthetic runs are excluded entirely because the moderator asked guide question 1 while still inside guide section 0, so from that point every section label names a different guide question than its index (and two consecutive labels carry the same question); they are named in mator_bertscore_spec.json under corpus.section_label_misaligned_runs and remain in the relevance metric, which does not use section labels. Sections below the Tier 2b data floor (>=3 participant turns, >=150 words) or holding a single speaker are excluded and listed individually in mator_section_floor_skips.csv. Computed by scripts/mator_bertscore_metrics.py."
mator_agreement_consecutive_turn_similarity,exploratory,exploratory,AUTOMATIC_PROXY_EXPLORATORY,_comparable_window,turn transition,"Mean sentence-transformer cosine similarity between a participant turn and the immediately preceding turn when that turn is also a participant's, within the same guide section (the frozen response-act universe in consensus_dynamics/response_acts.csv). Sentence-pooled whole turn (R2, primary) and length-matched (R3, control), same model and same rules as scripts/consensus_dynamics_metrics.py. Computed by scripts/mator_agreement_strict.py; the BRIDGED variant (mator_agreement_R2/R3) is REUSED unchanged from consensus_dynamics/mator_d4_d5_by_unit.csv and reported beside it.",-,strict participant-follows-participant response acts within a comparable guide section,mean over response acts -> per run -> per FG x condition,"Mator-comparable proxy. Mator et al. (2025), 'Exploring Accessible Focus Groups with Cognitive Persona Generation and AI Agents', Table 4 (n=3 per side): 'Agreement among participants', AI 92%, Human 42%. (1) NOT BERTSCORE and not a literal reproduction: Mator describe 'stance-aware sentence similarity' without specifying the method, so this is the closest reasonable operationalisation of their construct. (2) SIMILARITY IS NOT AGREEMENT - none of this distinguishes sharing a stance from discussing the same topic; that is what the WITHHELD interpretive agreement/disagreement metrics and the gold standard resolve. (3) WHY STRICT IS PRIMARY: the pre-existing bridged computation pairs turns that are consecutive among participants only, so it also pairs turns separated by a moderator turn - about 1% of human pairs but about 40% of synthetic ones, because the synthetic moderator intervenes far more often. The two sides were therefore not the same measurement. Computing the strict variant SETTLES that concern rather than confirming it: strict R2 gives human 0.537 / enriched 0.870 / demographics-only 0.862 against bridged 0.538 / 0.870 / 0.858, and strict R3 gives 0.429 / 0.558 / 0.532 against bridged 0.430 / 0.545 / 0.520. The universes differ sharply but the contrast does not, so the existing bridged figures can be cited without correction. Both are reported; exact bridge rates are in mator_agreement_strict_spec.json. (4) The R2/R3 contrast already established that roughly two thirds of the published gap is turn length rather than consensus, and the strict variant reproduces that too (+0.33 at R2 falling to +0.13 at R3)."
mator_conversational_distribution,exploratory,exploratory,AUTOMATIC_PROXY_EXPLORATORY,_comparable_window,focus group,"Word share of the moderator and of each individual participant, in Mator's row format. REUSED, NOT RECOMPUTED: reshaped from the existing moderator_word_share metric and the participant_word_counts vector already retained in results/structural_distributions_long.csv.","words spoken by the moderator, and by each participant",all words in the window,per run -> per FG x condition,"Mator-comparable proxy. Mator et al. (2025), 'Exploring Accessible Focus Groups with Cognitive Persona Generation and AI Agents', Table 4 (n=3 per side): 'Conversational distribution', AI 'M 18%, 3 participants 24-29% each', Human 'M 32%, 3 participants 18-26% each'. Presentation layer only over AUTOMATIC_VALIDATED inputs; it adds no new counting and does not supersede moderator_word_share or moderator_turn_share. Inherits their caveat: the sub-entry Q1 boundary drops moderator words only. Rosters here are 3-5 participants, not Mator's fixed 3, so per-participant shares are not directly comparable to theirs."
