physical_run,state_crosscheck_agree,state_crosscheck_boundary_diffs,state_crosscheck_conflicts,total_source_words,total_source_entries,roster_names,source_entry_index,source_entry_turn,source_character_start,boundary_entry_section,original_boundary_entry_chars,original_boundary_entry_words,retained_boundary_text_chars,retained_boundary_text_words,original_boundary_entry_sha256,retained_boundary_text_sha256,boundary_review_status,boundary_review_note,retained_residue_classes,retained_poses_q1,q1_distinctive_tokens_in_retained,verbatim_slice_verified,closing_boundary_overlap,closing_boundary_is_moderator,q1_boundary_overlap,validation_flags,source_transcript_sha256,comparable_transcript_sha256,comparable_transcript_path,first_included_entry_index,last_included_entry_index,first_included_turn,last_included_turn,included_sections,excluded_sections,included_entries,included_participant_turns,included_moderator_turns,included_words,excluded_pre_q1_entries,excluded_pre_q1_words,excluded_boundary_prefix_words,excluded_closing_entries,excluded_closing_words,segmentation_verdict,problems
macho_meals_fg4_run04,54,6,0,10257,60,Gregor|James|Mark,7,6,112,1,326,59,214,41,682ef682b65de63f25a565935f5d11c87338934ce3efdc75485dfb7495971604,8ffaf77dd3bc8c99f5517199d75001c4f10d517430c3433a82de163caad25249,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 158, extended back 1 sentence(s) to char 112; dropped 112 leading chars (18 words) carrying: presentation_summary_propernouns(Good,Manchester,South,Norwich)",none,True,3/7,True,0.125,True,0.556,closing_overlap_low(0.125),4d5657308774e028ccf1d99afa16204033c00d5b85504d48a25534255b94440a,0b3bf6f204628d95b55579f3f3bd9460564bf25d88ea4768f40601623127b9e0,analysis\production_evaluation\comparable_transcripts\macho_meals_fg4_run04\comparable_transcript.json,7,54,6,38,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,48,32,16,8780,7,813,18,5,664,OK,
macho_meals_fg4_run03,53,6,0,8970,59,Gregor|James|Mark,4,4,81,1,338,61,257,47,b3033d34ed4e2da7f680d73335f26a608778b27b81626582133b70fa3269e820,b5b77d2576f5766da74abf8f5b42ee8f69ed349e2eab0e3a2d3524e4538356aa,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 107, extended back 1 sentence(s) to char 81; dropped 81 leading chars (14 words) carrying: presentation_summary_propernouns(Good,Manchester,South,East); presentation_summary(spread)",none,True,6/7,True,0.75,True,0.889,none,bcbb32180af1b39dae69318cfb2a7872ce38f4b05edf4b97cbdaf3586deb341b,944d9f0fcf3db6c267bdae829ed8208c6a74a7070e5cfdb4b12482fd7255ee0c,analysis\production_evaluation\comparable_transcripts\macho_meals_fg4_run03\comparable_transcript.json,4,51,4,35,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,48,31,17,7668,4,350,14,7,952,OK,
macho_meals_fg5_run01,46,6,0,9406,52,Fletcher|Keith|Patrick|Toby,8,7,196,1,428,79,232,45,15c498f3e2574c829c99c7c036a842eb6b6ecbacca8af3719cf1b934dbaeda4f,5676b25c4135fd964b74d528a23acfd16a292acc864f2656da65f3cb047274bd,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 336, extended back 2 sentence(s) to char 196; dropped 196 leading chars (34 words) carrying: participant_name(Keith); presentation_summary_propernouns(Good,Keith,South,South); presentation_summary(spread)",none,True,4/7,True,0.562,True,0.778,none,d958578193685ea523523fbcf88d62d7a020f0cc780ac17ebd298824528d4b4b,9fdb5a807e52330eb3cb0aed0e9871e3f1f9a6fca7c99184d851badbe4fec5ce,analysis\production_evaluation\comparable_transcripts\macho_meals_fg5_run01\comparable_transcript.json,8,48,7,35,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,41,28,13,7984,8,1041,34,3,381,OK,
macho_meals_fg5_run03,63,6,0,9658,69,Fletcher|Keith|Patrick|Toby,8,7,139,1,352,63,213,39,360e49bfbc91e1f64c77a4c68b23a9f09c96131e4f20d39155a4a626756e08f0,6f53c23dde48bf9f5556ee14a035a889b45e6e259776dd5a2adfc6a5dbded15d,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 165, extended back 1 sentence(s) to char 139; dropped 139 leading chars (24 words) carrying: participant_name(Fletcher,Keith,Patrick,Toby); presentation_summary_propernouns(Great,Keith,Fletcher,Toby)",none,True,5/7,True,0.375,True,0.667,none,5eac32723e2126536b5391cc9caa0e2e49a75590f3552a86bf5ae2f96db09c49,3ae78f408e5e92b64551363a22e99524f2733faedd188adddb1c6d51c2ebf590,analysis\production_evaluation\comparable_transcripts\macho_meals_fg5_run03\comparable_transcript.json,8,65,7,43,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,58,36,22,8857,8,532,24,3,269,OK,
macho_meals_fg5_run04,55,6,0,10049,61,Fletcher|Keith|Patrick|Toby,5,5,101,1,354,68,253,52,bf559505f6a22135c7ef2a1835f7962000714336f411fcc3cfee5537cf1fbf4e,cc71387d0afb11c5e0b2f7e0865a7df7ff409225056caaf428086fb66cacd36b,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 127, extended back 1 sentence(s) to char 101; dropped 101 leading chars (16 words) carrying: presentation_summary_propernouns(Great,Devon,Manchester,South); presentation_summary(good mix)",none,True,4/7,True,0.5,True,0.556,none,745aca2208c6f99425f1e83a2c06ba2169e2fa424b1d7f6be2dfeb84720813fe,41385e8e8a755d371cf897a41ee093849ed204a262c7a3617357999884c5dae7,analysis\production_evaluation\comparable_transcripts\macho_meals_fg5_run04\comparable_transcript.json,5,55,5,37,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,51,32,19,8890,5,390,16,5,769,OK,
macho_meals_fg1_demoonly_run01,73,6,0,16574,79,Amir|David|Ibrahim|Isaiah|Will,0,0,1033,0,1177,211,144,26,f2a1cfea0ecf9c2066e4441e4afa3a54dee5e02314b5aadb3b1fb666dd1df0c9,cd723e7b88d590612fd28b54cff8fccb8e41c77997b7d6949516fc40784ffa9a,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 1068, extended back 1 sentence(s) to char 1033; dropped 1033 leading chars (185 words) carrying: moderator_self_intro; welcome; instructions(recorded)",none,True,6/7,True,0.5,True,1.0,none,1b0b3a5690ec7da427990240aca2598ece473928000ccf36cf7e8461d7623ae0,a68930e5b8cf7b283eb7d5d97a0e9915dbabf301cd91e5f9be810a156522a9cc,analysis\production_evaluation\comparable_transcripts\macho_meals_fg1_demoonly_run01\comparable_transcript.json,0,72,0,52,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,73,51,22,15135,0,185,185,6,1254,OK,
macho_meals_fg1_demoonly_run02,61,6,0,10497,67,Amir|David|Ibrahim|Isaiah|Will,6,6,117,1,339,63,222,41,2a5b9cae6e7efdcf9bbc374be547913e739738951242fb7c4f06a7c13621d86b,a22e324758503a9d83ff36bd75eda7cb42b38bbc6d63dec31906faf96474c18a,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 226, extended back 2 sentence(s) to char 117; dropped 117 leading chars (22 words) carrying: welcome; presentation_summary(spread)",none,True,5/7,True,0.75,True,0.667,none,3a13dec43f7d8ef0414d2b1efec6bbb4893c44ee3d58a029a5d24a1d003d0e14,f5d5dde7a2d15973e5643ff80ded0876ec5c53f5cdeadee4cb69365662b8378d,analysis\production_evaluation\comparable_transcripts\macho_meals_fg1_demoonly_run02\comparable_transcript.json,6,57,6,47,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,52,35,17,8418,6,356,22,9,1723,OK,
macho_meals_fg1_demoonly_run03,59,6,0,9923,65,Amir|David|Ibrahim|Isaiah|Will,8,7,220,1,419,76,199,37,618d10d03ba8c52e8f70b99c673326925a75c0b37452da954631d362ee1484d9,45889575ff65942f83859c8d8d3dfb6ee7f43652afcc0fd44683d3e494658c56,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 239, extended back 1 sentence(s) to char 220; dropped 220 leading chars (39 words) carrying: participant_name(Amir,David,Ibrahim,Isaiah,Will); presentation_summary_propernouns(Cheers,Will,David,Ibrahim); presentation_summary(spread)",none,True,6/7,True,0.75,True,0.889,none,e1e0c25fee4da238b2ca6e9c644fc900437a788e7d009b65c48f141491def4e7,20d7c034cb0c39a873a15fe6edd2b2fc601181b61c729b30f2a1e5d0c6ce3366,analysis\production_evaluation\comparable_transcripts\macho_meals_fg1_demoonly_run03\comparable_transcript.json,8,61,7,46,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,54,39,15,8719,8,757,39,3,447,OK,
macho_meals_fg2_demoonly_run01,54,6,0,8922,60,Bilal|Connor|Henry|Noah|Sam,6,6,63,1,378,72,315,60,7c33f8dbc35554ba2e8dd3fbf97de7accd260005cda8ad4e3b7dc0286cc5221d,2906ae78f963628ca39a3827bce21da56c02b9e4a413043a243cb4016b561d33,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 140, extended back 2 sentence(s) to char 63; dropped 63 leading chars (12 words) carrying: participant_name(Bilal,Connor,Henry,Noah,Sam); presentation_summary_propernouns(Great,Sam,Noah,Henry)",none,True,4/7,True,0.688,True,0.778,none,f95013d621b1ae76cda004a2efd3c768a49bffe3a0826d308b20aab81cebb636,8239d45a6f22a643284c184fca913628b4594e146a438fcd72d601af2ea7907f,analysis\production_evaluation\comparable_transcripts\macho_meals_fg2_demoonly_run01\comparable_transcript.json,6,56,6,42,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,51,36,15,8039,6,445,12,3,438,OK,
macho_meals_fg2_demoonly_run02,57,6,0,11039,63,Bilal|Connor|Henry|Noah|Sam,2,2,63,1,263,51,200,39,e59b7ad4ff41ab277e28dddaf041962ff3e77ce642b63f2fe179e7bc4cbc8fa5,94b63e6a64af72245b4d39a001ea50fd1d46415bf8e79eca23f889fa4a523142,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 82, extended back 1 sentence(s) to char 63; dropped 63 leading chars (12 words) carrying: participant_name(Bilal,Connor,Henry,Noah,Sam); presentation_summary_propernouns(Great,Sam,Noah,Henry)",none,True,3/7,True,0.5,True,0.444,none,caec4dc4e9be935a911a787dfb4e400b44e11b0b895a6982fa039f66ae9c6d94,a4ab58a1d9584fd5f94cd6a394ebfd87f704787753628b50f3dcda97decbfe53,analysis\production_evaluation\comparable_transcripts\macho_meals_fg2_demoonly_run02\comparable_transcript.json,2,57,2,40,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,56,38,18,9853,2,222,12,5,964,OK,
macho_meals_fg2_demoonly_run03,51,6,0,8334,57,Bilal|Connor|Henry|Noah|Sam,6,6,103,1,356,62,253,44,d957c68adc19ea8417e1e1acd193a3616b9af6e34462b3e63099e3b4080e86c4,39ab1bef252b6b33de9348ca6c9d3a1142e99d2cd3f9e1eb53eec50837fdcaae,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 129, extended back 1 sentence(s) to char 103; dropped 103 leading chars (18 words) carrying: welcome; presentation_summary_propernouns(Great,Belfast,London,Birmingham); presentation_summary(spread)",none,True,5/7,True,0.625,True,0.778,none,9328657709196f8fa80eafb2a0a0b5c61d49ed3b69104b2c7b08290886d8cadb,42bfd1fc761d29698d391810f5bb044d96f6bb117128472199977e249e75bf98,analysis\production_evaluation\comparable_transcripts\macho_meals_fg2_demoonly_run03\comparable_transcript.json,6,50,6,36,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,45,30,15,6926,6,370,18,6,1038,OK,
macho_meals_fg3_demoonly_run01,54,6,0,10940,60,Andrew|Daniel|John|Nick|Paul,6,6,253,1,499,94,246,47,1be50a542131daaf92009473e3f336fe8c431120cd9780c3649b099a302a35ec,35708ce582584d1e37f3cc3695bb34a77842fc1e7a528bd5d26baa5bb19164f3,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 354, extended back 1 sentence(s) to char 253; dropped 253 leading chars (47 words) carrying: participant_name(Daniel,Nick,Paul); presentation_summary_propernouns(Really,Nick,Paul)",none,True,6/7,True,0.562,True,0.889,none,0354775c50d2af821da3927662b4046c0f8ad699844573382d82186e08df88c7,fef00722213e704c7c543188c927f731ec1ff2c8949d1282523a431836d2fed3,analysis\production_evaluation\comparable_transcripts\macho_meals_fg3_demoonly_run01\comparable_transcript.json,6,50,6,33,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,45,27,18,8455,6,913,47,9,1572,OK,
macho_meals_fg3_demoonly_run02,53,6,0,10162,59,Andrew|Daniel|John|Nick|Paul,6,6,220,1,447,83,227,43,19d4e48e80eb6a7f9f83580b6821f609c910e329fd2bcb46b6cb7e5fae66f3c5,3d40efbd17b505226c9ed671293487068ac3f88999e5a481b6f28c0eb8e3a301,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 248, extended back 1 sentence(s) to char 220; dropped 220 leading chars (40 words) carrying: participant_name(Andrew); presentation_summary_propernouns(Andrew,Instagram,That,South); presentation_summary(spread)",none,True,6/7,True,0.5,True,1.0,none,63c5554cfebe4a92be25e24b129688f3b0c2a53b4db190a1fd1f0a7692080975,93a20322ae455e3a26eb0da0c9b5e955425769946d1ceea99e76b4b4ffc255d0,analysis\production_evaluation\comparable_transcripts\macho_meals_fg3_demoonly_run02\comparable_transcript.json,6,53,6,37,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,48,31,17,8653,6,519,40,5,990,OK,
macho_meals_fg3_demoonly_run03,78,6,0,15481,84,Andrew|Daniel|John|Nick|Paul,9,7,110,1,353,73,243,51,2b6ffeb576c4c63a635b9bb7cb4c27bea2de9c28bc9f4dbf6fd0c8edd20b4a1e,db286df81ab094c7f5eb94cc39f6d8971cc821c0e98cea2bc171e0e4a699a215,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 132, extended back 1 sentence(s) to char 110; dropped 110 leading chars (22 words) carrying: participant_name(Nick); welcome; presentation_summary_propernouns(Great,Nick); presentation_summary(spread)",none,True,5/7,True,0.438,True,0.667,none,905b3f213dccc2cfba90ba6399a751f35f8bb3dd5ccf263abd7e9784889dfd32,a2a5952c1ff318ce803b27c70306167f7bff65775d431f0346a040ee648ff764,analysis\production_evaluation\comparable_transcripts\macho_meals_fg3_demoonly_run03\comparable_transcript.json,9,78,7,56,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,70,48,22,13580,9,1047,22,5,854,OK,
macho_meals_fg4_demoonly_run01,38,6,0,7747,44,Gregor|James|Mark,0,0,1013,0,1148,209,135,24,04771785c8c2d21b325c8623274848c0ce7cfc4c9383cee7521192f7909f6d98,78d9c8375c05da60a5ce55f1a844d5d7d0650c7b21bc71fafc1c6665f7c3c83d,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 1039, extended back 1 sentence(s) to char 1013; dropped 1013 leading chars (185 words) carrying: moderator_self_intro; welcome; instructions(recorded)",none,True,6/7,True,0.688,True,1.0,none,7554166e66f9aa2ff17bde2e148baa645b60cf324ba782f0f66121305b79865d,06f822e83a75ceb952c56f981cbb024d170d1b445e8e179b7a5256c5b907b69f,analysis\production_evaluation\comparable_transcripts\macho_meals_fg4_demoonly_run01\comparable_transcript.json,0,40,0,28,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,41,27,14,7148,0,185,185,3,414,OK,
macho_meals_fg4_demoonly_run02,47,6,0,7362,53,Gregor|James|Mark,4,4,93,1,371,65,278,49,dcccd5c7449b2d8a4ec009d3213eec76f4dc0c9e3c7c006bcb3f9637a5fa8c3f,d3c3df77a7ecd9e47bf4bd2ec0a818f86767563707f91e8c0989d2a3f8f38989,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 264, extended back 2 sentence(s) to char 93; dropped 93 leading chars (16 words) carrying: presentation_summary_propernouns(Great,Manchester,South,East); presentation_summary(spread)",none,True,6/7,True,0.688,True,0.889,none,32af809606045f2922823aad4b3c37b8030c2f523809f6ef656fe15ac2e6f0bf,8cac8cec15b494fff2f355c64d703a88ebda4b40ded72da7e90e13aa6b6ac3e5,analysis\production_evaluation\comparable_transcripts\macho_meals_fg4_demoonly_run02\comparable_transcript.json,4,45,4,30,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,42,26,16,6098,4,340,16,7,924,OK,
macho_meals_fg4_demoonly_run03,45,6,0,9118,51,Gregor|James|Mark,2,2,140,1,485,92,345,64,31c6f1d15a7df84ee9c6907f3e1e507efeaf5f7c2a13c3e77f48be08289e5eca,00799b6eea2a95417722c212b04c92e4f8d3ffba970b034d10eaa99793e1bbb2,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 276, extended back 2 sentence(s) to char 140; dropped 140 leading chars (28 words) carrying: participant_name(Gregor,James,Mark); presentation_summary_propernouns(Great,Gregor,North,James); presentation_summary(spread)",none,True,5/7,True,0.75,True,0.667,none,757dee6c426512a52d0c94e761f8a0e7652e5b16a5e1dbe1950585aadbc203d8,c85d760a501d359d184d541489d25f5ab310188a69871f059ca93f15e528e300,analysis\production_evaluation\comparable_transcripts\macho_meals_fg4_demoonly_run03\comparable_transcript.json,2,43,2,30,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,42,27,15,7434,2,258,28,7,1426,OK,
macho_meals_fg5_demoonly_run01,47,6,0,8476,53,Fletcher|Keith|Patrick|Toby,5,5,161,1,469,88,308,59,48a7c57e937a852b8c44d9d23149e40dd3754dc4954d37f9ba3b2ddc38b89d1d,0a4f033cd94cd658a42647910ea2d0bf4c77efc927fe16a97f23c389c1464a97,AUTO_TRIMMED,"anchored on minimal Q1 ask at char 310, extended back 2 sentence(s) to char 161; dropped 161 leading chars (29 words) carrying: participant_name(Fletcher,Keith,Patrick,Toby); welcome; presentation_summary_propernouns(Great,Fletcher,Toby,Patrick)",none,True,5/7,True,0.75,True,0.667,none,f39c5c10eecc023f851f782ab278e8a20af19712a9452785e407924203793b00,7eb57c73126286306edc4e0daf33a879796aa5ca59a3fb031e73123e86f790a2,analysis\production_evaluation\comparable_transcripts\macho_meals_fg5_demoonly_run01\comparable_transcript.json,5,49,5,35,q1_ask..end_of_last_substantive_section,pre_q1_material|closing_section,45,30,15,7513,5,525,29,3,438,OK,
