condition,fg,canonical_replication_index,physical_run,session_id,run_label,verdict,transcript_entries,participant_turns,moderator_turns,roster_n,transcript_sha256,config_sha256,agents_sha256_combined,guide_in_config_sha256,guide_yaml_sha256,moderator_prompt_sha256
enriched,fg4,2,macho_meals_fg4_run04,macho_meals_fg4_run04,run04,PASS,60,39,21,3,4d5657308774e028ccf1d99afa16204033c00d5b85504d48a25534255b94440a,f3bb89f7225eaf758e010eac6a837ba48da1416368cf6e0c44f9b3527ab9802a,677ac45bdc92da33e03de8723065d29aa52e894a8cdd7e9fc8460058df601b9e,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg4,3,macho_meals_fg4_run03,macho_meals_fg4_run03,run03,PASS_WITH_WARNINGS,59,37,22,3,bcbb32180af1b39dae69318cfb2a7872ce38f4b05edf4b97cbdaf3586deb341b,3da41eaf5c73cf85224d428ed1fc1ef657404120db069ffb28ef85b5af7ff3a2,677ac45bdc92da33e03de8723065d29aa52e894a8cdd7e9fc8460058df601b9e,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg5,1,macho_meals_fg5_run01,macho_meals_fg5_run01,run01,PASS_WITH_WARNINGS,52,35,17,4,d958578193685ea523523fbcf88d62d7a020f0cc780ac17ebd298824528d4b4b,53906b939596b24b1a6fc190a1a70af5c01036e8cfa743107b34084631be53da,1c5344833603080a18d61ae6e9f60c54e0cdd8ab8f10877cab5865473e5c58ba,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg5,2,macho_meals_fg5_run03,macho_meals_fg5_run03,run03,PASS_WITH_WARNINGS,69,43,26,4,5eac32723e2126536b5391cc9caa0e2e49a75590f3552a86bf5ae2f96db09c49,5927222b53698c3ec07e326c3d32c049f1adc7fd522a321c62546bd8ec703eb7,1c5344833603080a18d61ae6e9f60c54e0cdd8ab8f10877cab5865473e5c58ba,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
enriched,fg5,3,macho_meals_fg5_run04,macho_meals_fg5_run04,run04,PASS_WITH_WARNINGS,61,38,23,4,745aca2208c6f99425f1e83a2c06ba2169e2fa424b1d7f6be2dfeb84720813fe,b20db3d8175b494ac3089cc974f468bcbe6b5d212acdec2325cfc7ab3742d6af,1c5344833603080a18d61ae6e9f60c54e0cdd8ab8f10877cab5865473e5c58ba,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg1,1,macho_meals_fg1_demoonly_run01,macho_meals_fg1_demoonly_run01,demoonly_run01,PASS,79,54,25,5,1b0b3a5690ec7da427990240aca2598ece473928000ccf36cf7e8461d7623ae0,cc47e6414cc52a13aa32f06296898ed4f4ef4f3786492b4e698f98d70cf89cda,336d0fe3572eb5cd53132d15c94e5b444bc6f040620eda859b5e3b3f9c76fa82,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg1,2,macho_meals_fg1_demoonly_run02,macho_meals_fg1_demoonly_run02,demoonly_run02,PASS,67,46,21,5,3a13dec43f7d8ef0414d2b1efec6bbb4893c44ee3d58a029a5d24a1d003d0e14,5d4015777d61c72c4e7dd485b22e60feff1395544c17cf8cf10246b2d6ac90ea,336d0fe3572eb5cd53132d15c94e5b444bc6f040620eda859b5e3b3f9c76fa82,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg1,3,macho_meals_fg1_demoonly_run03,macho_meals_fg1_demoonly_run03,demoonly_run03,PASS,65,46,19,5,e1e0c25fee4da238b2ca6e9c644fc900437a788e7d009b65c48f141491def4e7,c4220b0afe8e183f0684927df24419955bbd9b01967170100854d348cd7c6e46,336d0fe3572eb5cd53132d15c94e5b444bc6f040620eda859b5e3b3f9c76fa82,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg2,1,macho_meals_fg2_demoonly_run01,macho_meals_fg2_demoonly_run01,demoonly_run01,PASS,60,42,18,5,f95013d621b1ae76cda004a2efd3c768a49bffe3a0826d308b20aab81cebb636,98f605c988757e0269cf6957454b15434049bcff64006903b0cd54a684b485f1,80944957b15a8dc9fef75b26e67de72527b2375ad5c8b46e2838f6e6f31cc31f,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg2,2,macho_meals_fg2_demoonly_run02,macho_meals_fg2_demoonly_run02,demoonly_run02,PASS,63,42,21,5,caec4dc4e9be935a911a787dfb4e400b44e11b0b895a6982fa039f66ae9c6d94,ace6777384ed32c383faa92f5df678d594f87fa3432c83118b4b6f465b7f0b82,80944957b15a8dc9fef75b26e67de72527b2375ad5c8b46e2838f6e6f31cc31f,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg2,3,macho_meals_fg2_demoonly_run03,macho_meals_fg2_demoonly_run03,demoonly_run03,PASS,57,38,19,5,9328657709196f8fa80eafb2a0a0b5c61d49ed3b69104b2c7b08290886d8cadb,18cd44a8674dd014a1e4fe12877af7650b21df8ae77f6e38ff498dfef8e9179c,80944957b15a8dc9fef75b26e67de72527b2375ad5c8b46e2838f6e6f31cc31f,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg3,1,macho_meals_fg3_demoonly_run01,macho_meals_fg3_demoonly_run01,demoonly_run01,PASS,60,36,24,5,0354775c50d2af821da3927662b4046c0f8ad699844573382d82186e08df88c7,af870937a59a80ae9d3374d3b4f9ddf5291def0186c0a68d87a09ad40d969130,86bc113c6d798abdafd0ab3df123e4994a64dd265f5e52b19a5905865d5afee8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg3,2,macho_meals_fg3_demoonly_run02,macho_meals_fg3_demoonly_run02,demoonly_run02,PASS,59,39,20,5,63c5554cfebe4a92be25e24b129688f3b0c2a53b4db190a1fd1f0a7692080975,e2b3f46f017ef28c61f1968a76b3afd4e5e80f55e0eefdef91c1d7d68161b07d,86bc113c6d798abdafd0ab3df123e4994a64dd265f5e52b19a5905865d5afee8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg3,3,macho_meals_fg3_demoonly_run03,macho_meals_fg3_demoonly_run03,demoonly_run03,PASS_WITH_WARNINGS,84,56,28,5,905b3f213dccc2cfba90ba6399a751f35f8bb3dd5ccf263abd7e9784889dfd32,c7d087d42874594470a306b2145cf73bc012ac831a58eed67e89d9747baaca71,86bc113c6d798abdafd0ab3df123e4994a64dd265f5e52b19a5905865d5afee8,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg4,1,macho_meals_fg4_demoonly_run01,macho_meals_fg4_demoonly_run01,demoonly_run01,PASS,44,28,16,3,7554166e66f9aa2ff17bde2e148baa645b60cf324ba782f0f66121305b79865d,1309ff9cd733958cd15734d69f8fbe4c0748b56039831dbb8cdb29ffd4f90192,6ed9e7e3dc627c7671e25afc7a6a5b7c6d0f67d96965789d3fc2ccaf305d9382,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg4,2,macho_meals_fg4_demoonly_run02,macho_meals_fg4_demoonly_run02,demoonly_run02,PASS,53,32,21,3,32af809606045f2922823aad4b3c37b8030c2f523809f6ef656fe15ac2e6f0bf,210cc1d9bffc487af7a147ee0043d70f1b60f8ba015c7c90c13258f5b1671d89,6ed9e7e3dc627c7671e25afc7a6a5b7c6d0f67d96965789d3fc2ccaf305d9382,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg4,3,macho_meals_fg4_demoonly_run03,macho_meals_fg4_demoonly_run03,demoonly_run03,PASS,51,33,18,3,757dee6c426512a52d0c94e761f8a0e7652e5b16a5e1dbe1950585aadbc203d8,109b074d049f1716c3216329f6c22c1b9a4b8f6a52824da86eb47be32aa1a8d0,6ed9e7e3dc627c7671e25afc7a6a5b7c6d0f67d96965789d3fc2ccaf305d9382,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg5,1,macho_meals_fg5_demoonly_run01,macho_meals_fg5_demoonly_run01,demoonly_run01,PASS,53,35,18,4,f39c5c10eecc023f851f782ab278e8a20af19712a9452785e407924203793b00,015f02cf8a9917692d961d443066b60df72526e0aa3b576cae3dafcc75c29925,badeb268f3299eee28523fdb8b5205f40fccf9e1e77867b936d77ba8a602f48c,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg5,2,macho_meals_fg5_demoonly_run02,macho_meals_fg5_demoonly_run02,demoonly_run02,PASS,69,44,25,4,83d2731d5ce68fdbbf1cace539d4bd99a6d9ed9f02544844f56bbb92195e5604,891e86b3b04500a42ff21b621edd6219a472cf12f059fa37e7b24cf899efdfb0,badeb268f3299eee28523fdb8b5205f40fccf9e1e77867b936d77ba8a602f48c,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
demographics-only,fg5,3,macho_meals_fg5_demoonly_run03,macho_meals_fg5_demoonly_run03,demoonly_run03,PASS_WITH_WARNINGS,52,33,19,4,2d923ac940315ca8b041f853a94be0917564de0f9bebe202958fc79fc51b5594,60b2c1da1769537d742b0fa473be0c1c3f70f98890f6ce3bc04c3383fbb118f7,badeb268f3299eee28523fdb8b5205f40fccf9e1e77867b936d77ba8a602f48c,e14999a0122e781060475c6facef9c3d66e4c25a0c692236fb6b333590e61ef2,3c2dd222d52deafe2b8dfe022a25de4f5628cc70513199788a33217a7d2da1d8,ac8fb30c0b2eeac36dd52014462b24d5c429487f3c7401239f5a716b61f2af10
