cluster_id,cluster_label,unit_id,coder_a,coder_b,raised_by_both,is_central_in_this_unit,n_rows_without_centrality,centrality_level
C03,"EATING MEAT IS IRRELEVANT TO ONE'S IDENTITY, NOT GENDERED",U04,1,0,0,NOT_ASSESSED,2,cluster_id x unit_id
C04,"EATING MEAT IS A HABIT, WHAT WAS COOKED AT HOME OR THE NORMAL THING TO DO",U01,1,1,1,NOT_ASSESSED,3,cluster_id x unit_id
C04,"EATING MEAT IS A HABIT, WHAT WAS COOKED AT HOME OR THE NORMAL THING TO DO",U02,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C04,"EATING MEAT IS A HABIT, WHAT WAS COOKED AT HOME OR THE NORMAL THING TO DO",U03,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C04,"EATING MEAT IS A HABIT, WHAT WAS COOKED AT HOME OR THE NORMAL THING TO DO",U07,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C05,BEING A MAN IS TIED TO WHAT MOST MEN USUALLY DO,U01,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C05,BEING A MAN IS TIED TO WHAT MOST MEN USUALLY DO,U03,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",U01,0,1,0,NOT_ASSESSED,2,cluster_id x unit_id
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",U03,1,1,1,NOT_ASSESSED,3,cluster_id x unit_id
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",U05,1,1,1,NOT_ASSESSED,4,cluster_id x unit_id
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",U06,1,1,1,NOT_ASSESSED,3,cluster_id x unit_id
C06,"THE PRESSURE TO CONFORM TO MASCULINE BEHAVIORS IS SUBTLE OR IMPLICIT, BUT EXISTS AND CARRIES CERTAIN EXPECTATIONS THAT ARE NORMALISED",U07,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C07,CONSIDERING THAT YOU EAT MEAT JUST BECAUSE YOU'RE A MAN IS NONSENSE,U01,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C07,CONSIDERING THAT YOU EAT MEAT JUST BECAUSE YOU'RE A MAN IS NONSENSE,U02,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C07,CONSIDERING THAT YOU EAT MEAT JUST BECAUSE YOU'RE A MAN IS NONSENSE,U05,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C08,EATING DECISIONS MAY BE BASED ON BODY OR HEALTH PERCEPTIONS OR PERSONAL BELIEFS,U02,1,1,1,NOT_ASSESSED,3,cluster_id x unit_id
C08,EATING DECISIONS MAY BE BASED ON BODY OR HEALTH PERCEPTIONS OR PERSONAL BELIEFS,U07,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
C09,IT'S SIMPLER—JUST EAT WHAT YOU CRAVE,U02,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C09,IT'S SIMPLER—JUST EAT WHAT YOU CRAVE,U03,1,1,1,NOT_ASSESSED,2,cluster_id x unit_id
C09,IT'S SIMPLER—JUST EAT WHAT YOU CRAVE,U04,1,1,1,NOT_ASSESSED,2,cluster_id x unit_id
C09,IT'S SIMPLER—JUST EAT WHAT YOU CRAVE,U06,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C10,"GENDER CONNECTED TO SPECIFIC EATING TOPICS (EG. EATING DISORDERS, PORTION SIZES, SALADS, ETC.)",U02,1,1,1,NOT_ASSESSED,3,cluster_id x unit_id
C10,"GENDER CONNECTED TO SPECIFIC EATING TOPICS (EG. EATING DISORDERS, PORTION SIZES, SALADS, ETC.)",U04,1,1,1,NOT_ASSESSED,3,cluster_id x unit_id
C10,"GENDER CONNECTED TO SPECIFIC EATING TOPICS (EG. EATING DISORDERS, PORTION SIZES, SALADS, ETC.)",U05,1,1,1,NOT_ASSESSED,2,cluster_id x unit_id
C11,MEN DON'T WORRY ABOUT FOOD,U03,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C11,MEN DON'T WORRY ABOUT FOOD,U05,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C11,MEN DON'T WORRY ABOUT FOOD,U06,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C11,MEN DON'T WORRY ABOUT FOOD,U07,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C12,SOCIAL PRESSURE IS DIFFERENT FROM CITIES TO SAMLL TOWNS,U05,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C13,OPT TO IGNORE SOCIAL EXPECTATIONS,U07,1,1,1,NOT_ASSESSED,3,cluster_id x unit_id
C14,THE PERSON WHO COOKS LEADS THE DECISIONS (EG. THE WIFE),U07,0,1,0,NOT_ASSESSED,1,cluster_id x unit_id
C15,AVAILABILITY OF OPTIONS IS IMPORTANT,U07,1,1,1,NOT_ASSESSED,2,cluster_id x unit_id
C16,WOMEN ARE MORE JUDGED AND HAVE TO EXPLAIN THEMSELVES WAY MORE THAN MEN WHEN IT COMES TO THEIR FOOD CHOICES,U06,1,0,0,NOT_ASSESSED,1,cluster_id x unit_id
