question,raw_theme_id,cluster_id
4,RT_4FFDA79B4018,UNCERTAIN
4,RT_0C86AEFFB2C8,C5
4,RT_73279FB7B618,UNCERTAIN
4,RT_34027DBEB15D,C3
4,RT_3E5F2A9E5DF3,C1
4,RT_0559E09FAB20,C13
4,RT_B08C71B38CDB,C8
4,RT_D79FC282BD61,UNCERTAIN
4,RT_B85121BD6F44,C2
4,RT_4FD9406D54FE,C8
4,RT_7FFE96D78506,C5
4,RT_78CF9F6CD480,C6
4,RT_FF19ED857E41,UNCERTAIN
4,RT_4BFDF5945525,C9
4,RT_B04D46BF0E50,C10
4,RT_888610B58CF8,C11
4,RT_4AC68448A4D2,UNCERTAIN
4,RT_84F12F6BFDA0,C3
4,RT_3019B22C5373,C7
4,RT_1C46A0EF8F4C,C13
4,RT_9097A6A07379,UNCERTAIN
4,RT_4B6A3F7E54AF,UNCERTAIN
4,RT_99B476DD98D0,UNCERTAIN
4,RT_A4885E4A1893,UNCERTAIN
4,RT_4D2EBEC2D9D8,C12
5,RT_5417B5D5D22A,C3
5,RT_FA33AB398E37,UNCERTAIN
5,RT_333006BF766B,UNCERTAIN
5,RT_590E80DFD966,C1
5,RT_787EDC828C99,C7
5,RT_027B7D5B5EE3,UNCERTAIN
5,RT_C56384705D4C,C9
5,RT_CF21E6ACBA49,C1
5,RT_7BEAFC34DE04,UNCERTAIN
5,RT_2DDA8766BAAE,C4
5,RT_EF40ED859C1C,C10
5,RT_98A331FFC982,UNCERTAIN
5,RT_1149D9B895DE,UNCERTAIN
5,RT_9D635DCE352C,UNCERTAIN
5,RT_645EE25E1C57,C5
5,RT_ED7A93E32A3F,C6
5,RT_F4DBEDA5A869,UNCERTAIN
5,RT_7E876BF78A40,C2
5,RT_1DC84BFDA14E,C1
5,RT_1377DDD16A4C,C5
5,RT_3C850BF05BA7,C3
5,RT_EA37024B54BD,C9
5,RT_561B692A0973,UNCERTAIN
5,RT_2F5CF790A868,UNCERTAIN
5,RT_3BCB2EA4F0A8,C8
5,RT_ED857FF2E376,UNCERTAIN
5,RT_2B8508E6527A,C5
5,RT_C38E95E01328,C3
5,RT_8A60E7E5D8D2,C4
5,RT_8825B01AAA56,C6
5,RT_042EF5CA830C,UNCERTAIN
5,RT_587C854829C7,C9
5,RT_BC519FF6186B,C7
5,RT_0668F23FE84F,UNCERTAIN
5,RT_E0AD8A326895,UNCERTAIN
5,RT_04E46D749D07,C6
5,RT_089EA6FB7FCD,C2
5,RT_A10FBC40712A,UNCERTAIN
5,RT_3970C7C38826,C4
5,RT_78F7A2250E8F,C10
5,RT_C634F25B10DB,C6
5,RT_E20252D91998,UNCERTAIN
5,RT_66DC641D852F,UNCERTAIN
5,RT_A3D11738F8F4,UNCERTAIN
5,RT_F09C63E63429,C5
5,RT_99843F1412DF,UNCERTAIN
5,RT_1E9F1218EB96,UNCERTAIN
5,RT_503780388364,UNCERTAIN
5,RT_B3C79D927AD8,C8
5,RT_F93E85B410BA,UNCERTAIN
5,RT_8677482EDA56,UNCERTAIN
5,RT_1FB94B8D2E81,UNCERTAIN
5,RT_2EF35D53F0D5,UNCERTAIN
5,RT_85741A9F5CC6,UNCERTAIN
