unit,side,condition,section_label_index,window_entry_index,guide_question_for_this_label,moderator_actually_asked,labels_displaced_in_this_run
macho_meals_fg1_run01,synthetic,enriched,4,31,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"Yeah, that distinction between pressure that's ambient and impersonal versus pressure that comes from people who actually know you — that feels like it matters. There's probably more than one version of this going on depending on where you are. Okay, I want to move us on a bit, because there's somet [...]",False
macho_meals_fg1_run01,synthetic,enriched,5,44,What might make plant-based foods more appealing to you or other men you know?,"Yeah — caring about quality and caring enough to change are two different things. That's a useful distinction. So across the five of you, there's this range: Will where it's about something actually woven into your community; Amir where it's a clear enough 'nah, I just don't want to'; and then David [...]",False
macho_meals_fg1_run02,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Okay, let's get into it. I want to start with something pretty open — think about the places you spend time with your male friends, whether that's in your city, your town, wherever you are. Where would you say is your go-to spot, and what is it about that place that makes it work for you?",False
macho_meals_fg1_run02,synthetic,enriched,2,12,How do you decide what to eat?,"Nice one, Amir. So across the five of you there's a kind of common thread there — that middle ground where you know people but you're not on show, and you've got that choice about how much to engage. Will's village experience sits somewhere different on that, but even that's got its own logic. Let's [...]",False
macho_meals_fg1_run02,synthetic,enriched,3,19,Do you think your gender influences what you eat? Tell us more about why or why not.,"So we've got a bit of a spectrum there — habit and not much conscious thought from Ibrahim, constraint and provenance from Will, somewhere in between from David. That's useful. Let's shift to something that might connect to all of that — thinking about whether being a man actually shapes what you ea [...]",False
macho_meals_fg1_run02,synthetic,enriched,4,27,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"Cheers Amir, that's a useful shift — the 'safe choice' framing, managing what it might mean without really thinking about it. Right, let's take that into the next bit. Imagine you actually decided to go plant-based — what would need to change in your life for you to do that? Could be practical, coul [...]",False
macho_meals_fg1_run02,synthetic,enriched,5,34,What might make plant-based foods more appealing to you or other men you know?,"Ibrahim, that's actually a really useful angle — 'it's just food' is a different starting point from where Isaiah and Amir have been. Will, David — anything you'd add quickly before we move on? And then I want to get into something related: what might actually make plant-based food more appealing —  [...]",False
macho_meals_fg1_run03,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. First thing I want to ask — think about where you actually spend time with your male friends, your mates. What's your favourite place in your city, your town, wherever you are — to hang out with them? Why that place? Feel free to be specific about it.",False
macho_meals_fg1_run03,synthetic,enriched,2,8,How do you decide what to eat?,"Yeah, that thing about the conversation being the point rather than the place itself — that keeps coming up. Alright, let's shift gears a bit. I want to talk about food. Simple question to start: how do you decide what to eat? Like on a normal day, what's actually going into that decision?",False
macho_meals_fg1_run03,synthetic,enriched,3,13,Do you think your gender influences what you eat? Tell us more about why or why not.,"Ibrahim, that thing you mentioned — the defensiveness, the 'eating meat is manly' stuff — I want to come back to that because I think it opens up exactly what I wanted to get into next. We've been talking about how food decisions get made, and now I'm curious about whether gender actually plays into [...]",False
macho_meals_fg1_run03,synthetic,enriched,4,25,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"David, that's a useful contrast to have in the room — the idea that for some of you this masculinity-meat thing carries real weight, and for others it's just not something you feel much. Let's take that with us. I want to shift gears slightly, because I want to get to something more concrete before  [...]",False
macho_meals_fg1_run03,synthetic,enriched,5,36,What might make plant-based foods more appealing to you or other men you know?,"Thanks Will — the availability point is a real one, and it's different from the social pressure version. Okay, building on that: rather than asking what would need to change in your own lives, I want to flip it slightly. What might actually make plant-based foods more appealing — to you, or to other [...]",False
macho_meals_fg2_run01,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. First question, and feel free to just go for it — what's your favourite place in your city to spend time with your male friends? Doesn't have to be anywhere special, just wherever you actually end up going. Why that place?",False
macho_meals_fg2_run01,synthetic,enriched,2,10,How do you decide what to eat?,"Nice — so there's a real pattern there across all your cities. Okay, let's shift to something a bit different. When it comes to actually deciding what to eat — day to day, whether you're at home, at work, out somewhere — how do you make that call? What goes into it?",False
macho_meals_fg2_run01,synthetic,enriched,3,18,Do you think your gender influences what you eat? Tell us more about why or why not.,"Yeah, that idea of reasons being embedded so the decision doesn't need to be one — that's come up a few times now and it feels like a useful place to leave that. Let's push into something a bit more specific from there. Do you think your gender — being a man — actually influences what you eat? Any r [...]",False
macho_meals_fg2_run01,synthetic,enriched,4,25,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"That phrase, 'the package you get handed' — I think that's doing a lot of work there. Right, let me move us on. You've all been talking about food as something shaped by habit and upbringing, something that just comes with the life you've lived. I want to push that a bit further in a different direc [...]",False
macho_meals_fg2_run01,synthetic,enriched,5,31,What might make plant-based foods more appealing to you or other men you know?,"That's a useful place to land — it's not either/or, it's both feeding into each other. Let me bring Noah, Bilal, and Connor in on a slightly different angle, because you've all been pretty quiet on this one. We've been talking about what would need to change for a shift to happen — let's push on tha [...]",False
macho_meals_fg2_run02,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. First thing I want to ask is: what's your favourite place in your city or town to spend time with your male friends? Can be anywhere — a pub, a park, someone's house, wherever. And why that place specifically?",False
macho_meals_fg2_run02,synthetic,enriched,2,10,How do you decide what to eat?,"Cheers Connor. So it sounds like whether it's Leeds or Lisburn or London, it's less about having one fixed spot and more about what works given who you're with and where you all are. Good stuff. Let's shift gears slightly — thinking now about food rather than where you go. How do you decide what to  [...]",False
macho_meals_fg2_run02,synthetic,enriched,3,19,Do you think your gender influences what you eat? Tell us more about why or why not.,"Yeah, that idea of it being a bit more complicated than it first appears — that's come through from a few of you. Let's move on to something that sits underneath all of this. Do you think your gender influences what you eat? Whether that's the stuff you choose, how you feel about certain foods, what [...]",False
macho_meals_fg2_run02,synthetic,enriched,4,32,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"That's an interesting contrast, Bilal — you're saying it just doesn't carry that weight for you, it's more straightforward than the rest of us have been making it sound. Good to have that in the mix. Okay — we've covered a lot of ground there. Let me move us on, because I want to make sure we get to [...]",False
macho_meals_fg2_run02,synthetic,enriched,5,45,What might make plant-based foods more appealing to you or other men you know?,"That circularity point — where people see the reaction and just decide not to bother — that's a useful place to land. Okay, let's shift slightly. You've all been talking about what makes change difficult. I want to flip that around: what might actually make plant-based foods more appealing — to you, [...]",False
macho_meals_fg2_run03,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. First thing I want to ask — think about your own city or town, wherever you're based. What's your favourite place to spend time with your male friends? Could be a pub, a park, a mate's house, a sports ground — whatever it is for you. Where do you actually end up, and what m [...]",False
macho_meals_fg2_run03,synthetic,enriched,2,7,How do you decide what to eat?,"That's interesting — the 'loaded' thing you're describing, Noah, adds something that didn't come up in what the others were saying. Okay, so we've got a bit of a picture of where you all tend to end up with your mates. I want to move us onto something a bit different. Thinking about day-to-day life  [...]",False
macho_meals_fg2_run03,synthetic,enriched,3,13,Do you think your gender influences what you eat? Tell us more about why or why not.,"Yeah, that distinction's interesting — the inherited routine versus the more conscious awareness thing. Right, so what I'm hearing across the board is that food decisions are largely on autopilot — meat as the default, convenience doing most of the heavy lifting. Let's pick up on something that sits [...]",False
macho_meals_fg2_run03,synthetic,enriched,4,26,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"There's something interesting across all of what you've said — whether it's explicit enforcement, pattern-breaking, or just something woven in that you can't quite separate out, it sounds like the connection between meat and being a man is there for all of you in some form, even if it works differen [...]",False
macho_meals_fg2_run03,synthetic,enriched,5,40,What might make plant-based foods more appealing to you or other men you know?,"Thanks Bilal — that's a useful place to land on that. You've all been pulling apart what it would actually take to make that shift, and there's clearly a lot more to it than just swapping one food for another. Let me take that somewhere slightly different — rather than thinking about what's in the w [...]",False
macho_meals_fg3_run01,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. Before we talk about food specifically, I want to start somewhere that might feel a bit sideways. Where do you actually spend time with your male friends? Like, is there a particular place — a pub, a park, someone's garage, wherever — that you'd call your spot? What makes i [...]",False
macho_meals_fg3_run01,synthetic,enriched,2,7,How do you decide what to eat?,"Paul, that's a useful distinction — there's a difference between eating meat because it's just what you do, and eating it because you actually want it. And I think you've all landed on something that's worth holding onto as we go further. Let's build on that, because it takes us somewhere useful. Ho [...]",False
macho_meals_fg3_run01,synthetic,enriched,3,13,Do you think your gender influences what you eat? Tell us more about why or why not.,"John, that distinction is useful — the social marking is real, but that's different from saying it's driving what's on your plate. That's worth holding onto. Actually, that's a good place to shift gears a bit, because John's just touched on something I want to open up properly. You've been talking a [...]",False
macho_meals_fg3_run01,synthetic,enriched,4,21,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"There's something really useful in that distinction you've all been working through — the friction is real, but whether it's hiding something or just leaving something you weren't that fussed about anyway, that's where you're landing differently. Let's carry that with us and shift to something a bit [...]",False
macho_meals_fg3_run01,synthetic,enriched,5,33,What might make plant-based foods more appealing to you or other men you know?,"So John and Nick are actually landing in different places there — Nick's saying the remark carries something about who you are as a bloke, John's saying it's more just 'a bit odd, fair enough.' That's a real difference, and I don't think it needs to be resolved right now. But it does point at someth [...]",False
macho_meals_fg3_run02,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"So — favourite place to spend time with your male friends. Where do you actually end up, and why there?",False
macho_meals_fg3_run02,synthetic,enriched,2,7,How do you decide what to eat?,"Sounds like the pub does a lot of work for all of you — the ease of it, the familiarity, the fact that you don't have to think too hard about it. Let's shift gears slightly. I want to talk about food itself — not just when you're out, but day to day. How do you actually decide what to eat? What's dr [...]",False
macho_meals_fg3_run02,synthetic,enriched,3,12,Do you think your gender influences what you eat? Tell us more about why or why not.,"That distinction John just drew — busy versus not bothering — feels like it lands somewhere real. I want to move us on to something connected. You've all been talking about food choices as if they're pretty personal, practical, individual decisions. I'm curious whether being a man shapes any of that [...]",False
macho_meals_fg3_run02,synthetic,enriched,4,18,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"That phrase — insecurity dressed up as banter — that's a good one. Okay, so there's something real here about men and meat as this unquestioned default, and what happens socially when someone steps outside it. Let's take that somewhere more personal. Imagine you actually decided to go plant-based —  [...]",False
macho_meals_fg3_run02,synthetic,enriched,5,23,What might make plant-based foods more appealing to you or other men you know?,"That's a really honest place for both of you to land — knowing you're making the choice, and not pretending otherwise. I want to pick up something Nick said there, about people acting like you can't even think about it without being judged — because that points toward the next thing I wanted to ask. [...]",False
macho_meals_fg3_run03,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. First thing I want to ask: when you're spending time with your male friends — could be a regular thing, could be something that comes to mind — where do you tend to go? What's the place, or kind of place, that you'd default to? And why that one?",False
macho_meals_fg3_run03,synthetic,enriched,2,6,How do you decide what to eat?,"That idea of it being the attitude rather than the choice — that's come up a few times now, and it's interesting. Let's keep that thread running because I think it'll come back. But I want to make sure we hear from everyone, so let me move us on slightly. You've all touched on food a bit already — s [...]",False
macho_meals_fg3_run03,synthetic,enriched,3,11,Do you think your gender influences what you eat? Tell us more about why or why not.,"That middle ground — aware enough, but not making it a full-time job — seems to be where a few of you are landing. Let's build on that actually, because it leads somewhere interesting. I want to bring in something that might connect to all of this: do you think being a man influences what you eat? N [...]",False
macho_meals_fg3_run03,synthetic,enriched,4,25,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"Thanks Paul. There's something consistent across what all of you have said there — that the food itself hasn't changed, but the meaning around it has arrived whether you asked for it or not. That's a real thread. I want to build on it, actually, because it takes us somewhere useful. Let me ask you a [...]",False
macho_meals_fg3_run03,synthetic,enriched,5,41,What might make plant-based foods more appealing to you or other men you know?,"John — that thing you said, 'the eating bit hasn't changed but why it matters has, and I didn't ask for that to happen' — that's a different thing from what the others have been describing, and it's worth naming. Not irritation exactly, not defensiveness, just... a thing that's arrived and complicat [...]",False
macho_meals_fg4_run01,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Okay, let's get into it. First thing I want to ask is about where you actually spend time with your male friends — like, if you've got a favourite spot in your area, somewhere you tend to end up with the lads, what is it? What makes it that place?",False
macho_meals_fg4_run01,synthetic,enriched,2,8,How do you decide what to eat?,"Yeah, that idea of different things at different times makes sense — sometimes you want the buzz, sometimes you want to actually hear yourself think. Right, let's shift gears a bit. I want to ask you something more directly about food. How do you each decide what to eat — day to day, whether that's  [...]",False
macho_meals_fg4_run01,synthetic,enriched,3,15,Do you think your gender influences what you eat? Tell us more about why or why not.,"Thanks Mark. So across the three of you there's a pretty consistent thread — meat's the default, it's familiar, it's what you grew up with, and that's mostly just... comfortable. That's useful context. I want to move on to something related but slightly different. Do you think your gender influences [...]",False
macho_meals_fg4_run01,synthetic,enriched,4,22,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"That's a useful place to have got to — this idea that you can genuinely like something and still notice there's a whole layer of social pressure telling you not to think too carefully about it. Let me build on that actually, because it connects to something I want to ask you about. Imagine for a mom [...]",False
macho_meals_fg4_run01,synthetic,enriched,5,28,What might make plant-based foods more appealing to you or other men you know?,"James, that last bit — 'we shouldn't pretend it's more inevitable than it is' — that's a useful place to leave it. So if it's not inevitable, let's think about what might actually make it feel more appealing or realistic. Not what would force you into it — more like: what would genuinely make plant- [...]",False
macho_meals_fg4_run04,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Let's pick up on something connected to that. When you're spending time with your male friends — not family, not work — where do you actually end up? What's the spot, or the kind of place, that works best for that?",False
macho_meals_fg4_run04,synthetic,enriched,2,8,How do you decide what to eat?,"That's a useful corrective, Mark — habit and community aren't necessarily the same thing. Right, we've covered a fair bit of ground there. Let me shift us on a bit. I want to ask you all something a bit more everyday — when it comes to food, how do you actually decide what you're eating? Not in some [...]",False
macho_meals_fg4_run04,synthetic,enriched,3,15,Do you think your gender influences what you eat? Tell us more about why or why not.,"Gregor, that's a useful way to put it — and that observation about the noise around it, the blokes at the pub, people feeling judged either way — that's actually a good place to go next. Because there does seem to be something social happening around food, even if the day-to-day decisions feel prett [...]",False
macho_meals_fg4_run04,synthetic,enriched,4,25,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"That's a really honest answer, Mark — that thing you've named about eating something less often and it maybe starting to feel less automatic, even if you haven't consciously decided anything about it. That's worth sitting with. Right, I want to move us on, because there's a question I'd like to get  [...]",False
macho_meals_fg4_run04,synthetic,enriched,5,35,What might make plant-based foods more appealing to you or other men you know?,"That distinction between adaptation and choice is a useful one to leave that on. What you've all been circling is something like: the eating hasn't been a decision so much as a drift, shaped by habit, cost, what's available — and the question of whether that matters is genuinely open. I want to move [...]",False
macho_meals_fg4_run03,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. First question is a simple one: what's your favourite place in your city, town, or wherever you are — to spend time with your male friends? Could be a pub, somewhere outdoors, a mate's house, whatever comes to mind. Why that place?",False
macho_meals_fg4_run03,synthetic,enriched,2,8,How do you decide what to eat?,"Yeah, that practical middle ground makes sense — the pub as a default without it being a rule. So across all three of you, different parts of the country, but the same thread coming through: it's the people that make it work, not the specific place. Let's follow that through a bit — because if we're [...]",False
macho_meals_fg4_run03,synthetic,enriched,3,13,Do you think your gender influences what you eat? Tell us more about why or why not.,"That distinction between friction and determinism is useful — you're not saying the place makes you, just that it makes certain things easier or harder to bother with. Right. What I want to do is take some of that and go somewhere slightly different with it. We've been talking about how you decide w [...]",False
macho_meals_fg4_run03,synthetic,enriched,4,27,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"There's something in what you just said, Gregor — keeping people in line without saying it outright — that feels like it's doing a lot of work. And that thread about invisibility, the easiness of just being in the default, has run through a lot of what all three of you have said. Let's take that som [...]",False
macho_meals_fg4_run03,synthetic,enriched,5,37,What might make plant-based foods more appealing to you or other men you know?,"That's a really honest place to land, Mark — and that distinction between the mechanism and the effect is worth holding onto. Let's move on from there. You've all been talking about what makes it hard to step outside the default. I want to flip that around a bit now — what do you think might actuall [...]",False
macho_meals_fg5_run01,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Let's get into it. I want to start with something pretty simple: when you're spending time with your male friends, where do you tend to go? What's your favourite kind of place — or a specific place if you've got one — and why there?",False
macho_meals_fg5_run01,synthetic,enriched,2,5,How do you decide what to eat?,"Keith, that phrase — 'it shouldn't be this complicated' — I think that's capturing something real, and I want to come back to it properly in a bit. We've already started touching on something that I think deserves more space. But before we go there, I want to pull back slightly and ask something a b [...]",False
macho_meals_fg5_run01,synthetic,enriched,3,10,Do you think your gender influences what you eat? Tell us more about why or why not.,"That's a useful distinction — the same meal in a different setting can carry a completely different weight. Let me move us on a bit, because I want to ask something that connects to what you've been getting at. Thinking about what you eat — do you think being a man has anything to do with it? Whethe [...]",False
macho_meals_fg5_run01,synthetic,enriched,4,20,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"There's something that's come through pretty clearly across all four of you — not that anyone's been actively pushing the thing along, but that the comfort of it fitting has meant nobody's had to question it. That's a useful place to have got to. I want to move us on from there, because I think it c [...]",False
macho_meals_fg5_run01,synthetic,enriched,5,32,What might make plant-based foods more appealing to you or other men you know?,"So across the four of you, there's a pretty honest picture there — practical barriers where they exist, and then underneath that, the question of whether you actually want to. Which is where most of you have landed: you could, probably, but the pull isn't there. Let's take that somewhere slightly di [...]",False
macho_meals_fg5_run03,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. Thinking about the places you spend time with your male friends — is there a particular spot, pub, club, wherever it might be, that you'd call your favourite? What is it about that place?",False
macho_meals_fg5_run03,synthetic,enriched,2,9,How do you decide what to eat?,"Sounds like there's a common thread here — familiar places, people who know you, no need to perform. Right, let's shift to something a bit more everyday. How do you decide what to eat? Day to day — what actually goes into that decision for you?",False
macho_meals_fg5_run03,synthetic,enriched,3,18,Do you think your gender influences what you eat? Tell us more about why or why not.,"So across all four of you there's a pretty consistent thread — you know what you value, you know what feels right, and then most of the time the supermarket wins anyway. That tension between what you'd like to do and what you actually do is worth holding onto. Let's move into something a bit differe [...]",False
macho_meals_fg5_run03,synthetic,enriched,4,37,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"I want to stay with what Fletcher and Toby have just said for a second — because both of you have moved from talking about other people's behaviour to talking about your own, and that's a different thing. That bit about choosing what to do with what you notice — I think that's going to stay with me. [...]",False
macho_meals_fg5_run03,synthetic,enriched,5,48,What might make plant-based foods more appealing to you or other men you know?,"Toby, that's a sharp way of putting it — you can change, but only if you don't admit to changing. That seems to capture something the whole group has been circling: it's not the food that's the problem, it's having to own the choice in front of other people. That's a real finding. Let's carry that i [...]",False
macho_meals_fg5_run04,synthetic,enriched,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. I want to start somewhere fairly concrete: thinking about the time you spend with your male friends — where do you tend to go, or what do you tend to do? Is there a place or a kind of setting that's sort of the default for you?",False
macho_meals_fg5_run04,synthetic,enriched,2,6,How do you decide what to eat?,"Yeah, that thread about things becoming more deliberate after retirement keeps coming up across what you're all saying — the pub used to just happen, and now you have to decide to go. That's a useful bit of common ground. Let's shift gear a little. I want to ask you about how you actually decide wha [...]",False
macho_meals_fg5_run04,synthetic,enriched,3,15,Do you think your gender influences what you eat? Tell us more about why or why not.,"That distinction Keith's drawing — between quietly changing what you eat and making a thing of it — is worth holding onto. Let me take us somewhere that connects to that. Because one thing I'm curious about: when you're making those ordinary, practical choices about food, does being a man come into  [...]",False
macho_meals_fg5_run04,synthetic,enriched,4,24,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"So across the four of you, there's this shared thing — that the pressure's real, you've all felt or noticed it in some form, but none of you think it should be there. The 'it's just food' position. Let me take that somewhere a bit more concrete. Imagine you actually decided to go properly plant-base [...]",False
macho_meals_fg5_run04,synthetic,enriched,5,41,What might make plant-based foods more appealing to you or other men you know?,"Patrick, that's a really honest thing to name — that what sounded like practicality was partly about not wanting to become visible about something you hadn't chosen to make a statement about. That feels like it pulls together a lot of what's been said in this section. Fletcher — briefly, does that l [...]",False
macho_meals_fg1_demoonly_run01,synthetic,demographics-only,0,0,"Hi everyone, thanks so much for joining the focus group today. We’re going to take about 45 minutes to talk about your f [...]",Okay — let's start somewhere easy. What's your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,True
macho_meals_fg1_demoonly_run01,synthetic,demographics-only,1,10,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Yeah, that idea of choosing an experience rather than just going somewhere — that's coming up across all of you, whether it's too much choice or not enough. Really good to hear where you're all coming from. Let's shift to something a bit more personal. When it comes to food — how do you decide what  [...]",True
macho_meals_fg1_demoonly_run01,synthetic,demographics-only,2,18,How do you decide what to eat?,"Yeah, that's a really interesting flip — you're not drowning in choice, you're watching the choice narrow. Okay, so we've got this picture of how place shapes where you end up eating, whether that's too many options or not enough. Let's stay with the food side of it and zoom in a bit — how do you ac [...]",True
macho_meals_fg1_demoonly_run01,synthetic,demographics-only,3,23,Do you think your gender influences what you eat? Tell us more about why or why not.,"Ibrahim, that last bit — 'complicit in killing off the thing you're saying you miss' — that's a real tension to sit with. I want to hold onto that, because I think it's going to come back. What you're all describing about how you decide what to eat, and who or what's actually shaping those choices,  [...]",True
macho_meals_fg1_demoonly_run01,synthetic,demographics-only,4,45,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"David, that's a really honest place to land — the short-term fix making the long-term thing worse, and being part of it yourself. I think that's probably the most honest account of the trap anyone's given today. I want to hold onto that, because I think it sets up what I want to ask you all next. We [...]",True
macho_meals_fg1_demoonly_run01,synthetic,demographics-only,5,64,What might make plant-based foods more appealing to you or other men you know?,"That last bit — knowing feels hollow, it doesn't actually move anything — that's probably the sharpest thing anyone's said today. And it's a good place to pivot from, because it raises the question of what would actually move something. Not just for you individually, but more broadly. So let's go th [...]",True
macho_meals_fg1_demoonly_run02,synthetic,demographics-only,1,0,What’s your favourite place in your city to spend time with your male friends? Why? Feel free to be specific.,"Right, let's get into it. Think about the times you spend with your male friends — where do you actually go? What's your favourite kind of place to hang out together, and what makes it that spot rather than somewhere else?",False
macho_meals_fg1_demoonly_run02,synthetic,demographics-only,2,8,How do you decide what to eat?,"That's a really useful contrast, Will — the question of 'pub or something else' looks different when there isn't really an 'or something else.' Right, let's shift gears slightly. I want to ask you all something a bit more day-to-day: how do you decide what to eat? Not just big occasions — just on an [...]",False
macho_meals_fg1_demoonly_run02,synthetic,demographics-only,3,14,Do you think your gender influences what you eat? Tell us more about why or why not.,"There's something interesting in that distinction you're both drawing — whether the awareness of other options actually changes anything, or whether it's just background noise while you do the same thing anyway. Let's take that with us. I want to move us on to something that connects with all of thi [...]",False
macho_meals_fg1_demoonly_run02,synthetic,demographics-only,4,26,Imagine you decided to go plant-based — what would need to change in your life for you to do that?,"Isaiah, that thing you're describing — where you've actually tested it, it was fine, and the feeling still comes back — I want to hold onto that. It's not about information. It doesn't go away when you know it's irrational. Let's take that somewhere. You've all been describing a version of the same  [...]",False
macho_meals_fg1_demoonly_run02,synthetic,demographics-only,5,40,What might make plant-based foods more appealing to you or other men you know?,"Ibrahim, that idea of how you carry it rather than who you are — that's a useful way to frame it. And it sort of points to something practical: if it's not the choice itself that gets judged but the way you make it visible, then there's something there about what actually makes it easier or harder t [...]",False
