unit,side,fg,condition,n_entries,n_participant_turns,section_labels_misaligned,length_match_w,relevance_bertscore_f1,relevance_bertscore_f1_rescaled,relevance_bertscore_f1_length_matched,relevance_bertscore_f1_vs_section_opener,relevance_n_pairs,relevance_mean_cand_words,relevance_mean_ref_words,between_participant_bertscore_f1,between_participant_bertscore_f1_rescaled,between_participant_bertscore_f1_length_matched,between_participant_n_pairs,between_participant_n_sections,between_participant_sections,between_participant_mean_turn_words,agreement_strict_R2,agreement_strict_R3,agreement_strict_n,agreement_bridged_R2,agreement_bridged_R3,agreement_bridged_n,moderator_word_share,participant_word_shares,n_participants,notes
macho_meals_fg5_run03,synthetic,fg5,enriched,58,36,False,22,0.8243,-0.0409,0.8458,0.8245,36,214.1,51.1,0.8524,0.1254,0.8589,104,5,1|2|3|4|5,217.6,0.8874,0.4739,13,0.8825,0.4952,26,0.1296,0.2527|0.2201|0.2071|0.1906,4,
macho_meals_fg5_run04,synthetic,fg5,enriched,51,32,False,22,0.8272,-0.0241,0.8471,0.8229,32,235.6,71.6,0.8514,0.1194,0.8563,81,5,1|2|3|4|5,237.8,0.8736,0.4826,8,0.8701,0.4429,17,0.1519,0.2783|0.2136|0.2008|0.1555,4,
macho_meals_fg1_demoonly_run01,synthetic,fg1,demographics-only,73,51,True,38,0.8212,-0.0594,0.8413,0.8206,51,269.2,67.1,,,,0,0,,,0.8651,0.5016,23,0.8551,0.4648,38,0.0928,0.1983|0.1945|0.1793|0.1735|0.1617,5,"SECTION LABELS MISALIGNED: 8 participant turns inside the window are labelled guide section 0, i.e. question 1 was asked before the section-1 transition. Section labels do not name their guide question in this run; excluded from the section-indexed metric"
macho_meals_fg1_demoonly_run02,synthetic,fg1,demographics-only,52,35,False,38,0.8276,-0.0215,0.8401,0.8249,35,203.7,61.5,0.8498,0.11,0.8514,82,5,1|2|3|4|5,206.7,0.8456,0.5388,21,0.8373,0.525,30,0.1529,0.2347|0.2175|0.1608|0.1230|0.1111,5,
macho_meals_fg1_demoonly_run03,synthetic,fg1,demographics-only,54,39,False,38,0.8237,-0.0445,0.8393,0.8261,39,206.3,52.6,0.8548,0.1396,0.8532,113,5,1|2|3|4|5,211.0,0.8579,0.5529,24,0.8528,0.526,34,0.0771,0.2348|0.2185|0.1888|0.1411|0.1398,5,
macho_meals_fg2_demoonly_run01,synthetic,fg2,demographics-only,51,36,False,89,0.8266,-0.0276,0.8343,0.8265,36,201,60.8,0.8526,0.1264,0.8502,99,5,1|2|3|4|5,203.3,0.8509,0.5728,21,0.8465,0.5571,31,0.0999,0.2127|0.1887|0.1761|0.1746|0.1479,5,
macho_meals_fg2_demoonly_run02,synthetic,fg2,demographics-only,56,38,False,89,0.8231,-0.0484,0.8351,0.8229,38,234.0,53.8,0.8474,0.096,0.8477,128,4,1|3|4|5,225.1,0.8604,0.5932,20,0.8554,0.5765,33,0.0974,0.2361|0.2270|0.1911|0.1384|0.1099,5,
macho_meals_fg2_demoonly_run03,synthetic,fg2,demographics-only,45,30,False,89,0.8255,-0.0339,0.8357,0.823,30,207.5,49.6,0.8589,0.1639,0.8543,65,5,1|2|3|4|5,192.0,0.8414,0.6036,15,0.8542,0.6228,25,0.1011,0.2459|0.2270|0.2163|0.1057|0.1041,5,
macho_meals_fg3_demoonly_run01,synthetic,fg3,demographics-only,45,27,False,47,0.8243,-0.0411,0.8423,0.8214,27,260.5,87.9,0.849,0.1053,0.8522,53,5,1|2|3|4|5,254.4,0.8948,0.5988,9,0.8742,0.5223,22,0.1681,0.2365|0.1962|0.1812|0.1443|0.0737,5,
macho_meals_fg3_demoonly_run02,synthetic,fg3,demographics-only,48,31,False,47,0.8225,-0.0516,0.8423,0.8246,31,244.8,51.4,0.8508,0.1159,0.8513,77,5,1|2|3|4|5,241.5,0.8916,0.5252,14,0.8854,0.5471,26,0.1228,0.2546|0.2100|0.1686|0.1530|0.0910,5,
macho_meals_fg3_demoonly_run03,synthetic,fg3,demographics-only,70,48,False,47,0.8199,-0.0668,0.8421,0.824,48,260.0,49.4,0.8484,0.1018,0.8514,191,5,1|2|3|4|5,264.1,0.8484,0.5287,26,0.8547,0.5342,43,0.0811,0.2292|0.2085|0.1802|0.1696|0.1314,5,
macho_meals_fg4_demoonly_run01,synthetic,fg4,demographics-only,41,27,True,47,0.8215,-0.0576,0.8389,0.8232,27,237.9,52.8,,,,0,0,,,0.8802,0.4794,10,0.8727,0.4862,17,0.1016,0.3132|0.3025|0.2827,3,"SECTION LABELS MISALIGNED: 5 participant turns inside the window are labelled guide section 0, i.e. question 1 was asked before the section-1 transition. Section labels do not name their guide question in this run; excluded from the section-indexed metric"
macho_meals_fg4_demoonly_run02,synthetic,fg4,demographics-only,42,26,False,47,0.8245,-0.0398,0.8422,0.8275,26,196.7,69.0,0.8508,0.1161,0.8526,43,5,1|2|3|4|5,181.9,0.8537,0.5299,10,0.8557,0.5046,21,0.1614,0.3408|0.2519|0.2460,3,
macho_meals_fg4_demoonly_run03,synthetic,fg4,demographics-only,42,27,False,47,0.8257,-0.033,0.841,0.8262,27,238.1,69.0,0.8537,0.133,0.8556,48,5,1|2|3|4|5,239.5,0.8725,0.5843,13,0.8669,0.5423,22,0.1353,0.3078|0.2805|0.2764,3,
macho_meals_fg5_demoonly_run01,synthetic,fg5,demographics-only,45,30,False,22,0.8214,-0.0582,0.8417,0.8233,30,226.6,55.1,0.8583,0.1606,0.8643,65,5,1|2|3|4|5,228.0,0.8767,0.4297,9,0.8763,0.4889,16,0.0953,0.2774|0.2307|0.2142|0.1825,4,
macho_meals_fg5_demoonly_run02,synthetic,fg5,demographics-only,51,32,False,22,0.8236,-0.0452,0.845,0.8196,32,244.3,51.4,0.8477,0.0975,0.856,90,4,1|3|4|5,246.1,0.8584,0.4684,9,0.8484,0.4495,17,0.1163,0.2660|0.2473|0.2420|0.1284,4,
macho_meals_fg5_demoonly_run03,synthetic,fg5,demographics-only,40,25,False,22,0.823,-0.0488,0.8471,0.8228,25,258.2,67.5,0.8471,0.0942,0.8516,46,5,1|2|3|4|5,266.3,0.8336,0.4711,6,0.8393,0.4467,13,0.1318,0.2827|0.2328|0.2183|0.1344,4,
