question,raw_theme_id,rep1_cluster,rep2_cluster,resolution,final_cluster_id,rep1_justification,rep2_justification
1,RT_616B6110C912,C8,C8,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C8,"The claim is that seated shared meals create the calm, conversation-friendly setting for deeper talk.","The claim is that a seated shared meal creates the conditions for comfortable, deeper conversation, matching dining settings valued for conversation."
1,RT_6971B2424910,C2,C2,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C2,"It concerns how belonging in a venue is built, arguing regular attendance and commitment are required to earn that familiarity.","It asserts that belonging in a space comes from deliberately committing to regular attendance, the same mechanism of repeated visiting producing acceptance."
1,RT_74059AFD2CD5,C13,C1,CROSS_MODEL_UNRESOLVED,,The claim is a preference for casual everyday food-and-drink venues as the setting for relaxed socializing.,"It states that pubs, bars and cafés are the go-to casual places for meeting friends, the default hospitality venue claim."
1,RT_77E016308586,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim that pub food quality shapes enjoyment of a gathering is neither about conscious sourcing/reduced meat nor about affordability or convenience, so no cluster captures it.",The claim that pub food quality shapes enjoyment of a gathering matches neither the meat-consciousness cluster nor the affordability/convenience venue-choice cluster.
1,RT_78D1F8AEE997,C13,C13,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C13,"It claims a preference for settings free of image-projection, i.e. unpretentious spaces without performance.","The claim concerns preferring venues where no image needs projecting, i.e. unpretentious settings free of performance."
1,RT_92B0B1E9DA88,C13,C13,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C13,"The complaint that curated, themed, expensive venues create pressure is the negative statement of the preference for unpretentious, easy spaces.","It claims over-curated, themed or costly venues add pressure and undermine easy hanging out, supporting the preference for low-key unpretentious spaces."
1,RT_9727BE7C78E5,C2,C2,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C2,"The claim is that familiar local venues and routine hubs supply comfort and belonging, increasingly so over time.","The claim is that familiar local hubs supply comfort and connection, here intensified by age and loss, which is the belonging-through-familiarity claim."
1,RT_ACAB180BAD6A,C11,C11,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C11,"It states friends meet at sport and hobby-activity venues, using the activity as the social anchor.",The claim is that shared sport or hobby locations serve as the meeting point for friends.
1,RT_AD2E041FE45C,C13,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Meeting casually in parks with ad hoc food is a claim about preferring informal, low-key, non-performative settings.",Meeting in public parks with individually chosen food is neither the private/home-setting claim nor a convenience/affordability venue-choice claim.
1,RT_AEE7CD4DC282,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,"It argues the opposite pole of the same abundance-versus-connection debate, valuing many venue options for flexibility rather than defaulting to few.","It argues abundance of venues brings flexibility and freedom, the counter-position within the same choice-abundance-versus-connection claim."
1,RT_B7CC86817DA9,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that weather and seasons determine indoor versus outdoor socializing does not correspond to any cluster's mechanism.,The claim that weather and seasons determine indoor/outdoor socializing has no corresponding cluster.
1,RT_C305DEBD83B2,C14,C14,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C14,"It claims long-term local embeddedness and recognition deliver practical support and security, the support side of close-knit community life.","It claims long-term local networks and recognition deliver practical support and security, the support side of close-knit community life."
1,RT_C8564A9EEC69,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,It takes the variety side of the claim about whether many options or a fixed default is better for socializing.,It takes the variety-seeking side of the same claim about whether sticking to one place or spreading across many options is preferable.
1,RT_C90B256DCA4F,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim is a definitional distinction between ordinary plant eating and formal plant-based diets, which no cluster's claim addresses.",The definitional claim separating ordinary vegetable eating from formal plant-based regimes is not the quality/sourcing consciousness or policing claim.
1,RT_D5426D0BFC4F,C4,C4,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C4,Identifying as a meat-eater for whom giving up meat would be a loss expresses the identity attachment to meat consumption.,"It claims meat is bound up with personal identity such that giving it up feels like a loss, the identity-and-meat claim of that cluster."
1,RT_D62CBACBC57F,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"The claim weighs low-effort standing arrangements against ad hoc coordination, i.e. defaulting to avoid organising friction.","The claim contrasts low-effort standing arrangements that remove organizing work with case-by-case coordination, matching the default-to-avoid-coordination claim."
1,RT_F5DDFEA3150F,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,"It engages the value of meeting in private spaces, granting their comfort while flagging the resulting repetitiveness.","It engages the value of meeting in private spaces, qualifying that their comfort can tip into repetitive stagnation."
1,RT_FF053B2769E8,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"It asserts the pub is the reliable default social bedrock, especially where other venues are lacking.","It claims the pub is the reliable central social anchor for a community, especially where alternatives are few, matching its default-venue role."
2,RT_0DEFBB646DF3,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"The claim is guilt-free in-the-moment flexibility, choosing whatever is enjoyable rather than following a rule.",Claims eating-out choices are made flexibly according to what appeals at the time rather than by rule.
2,RT_11BEC7AB36E5,C17,C17,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C17,"Keeping to a consistent, familiar diet without overthinking is exactly the comfort-of-defaults claim.","Claims sticking to a familiar, satisfying diet without overthinking is preferable, matching comfort in habitual choices."
2,RT_1EA8715F4833,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that convenience coexists with residual ethical awareness of production is not asserted by any cluster.,The claim that convenience-driven buying still coexists with ethical awareness of production and animal welfare is not the substantive claim of any cluster.
2,RT_21C9B140D767,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"Cooking large batches of reliable meals to last days is a claim about ease, cost and time-saving practicality.",Household meal decisions are governed by ease and reliability—bulk-cooking dependable dishes that stretch over days.
2,RT_27B50AFE5E8F,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The practical difficulty of finding and cooking plant-based recipes matches no cluster's claim.,The practical difficulty of learning and sourcing plant-based recipes is not the claim of any cluster.
2,RT_2B4D81299A2D,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,A critique of producer-to-restaurant markups in the supply chain is not the same claim as any cluster about personal purchasing or budgets.,Criticism of producer-to-restaurant markup in the supply chain differs from the claim that rising prices reshape personal buying.
2,RT_3A1C975136F1,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"It claims rural life demands intentional planning while cities enable spontaneity, which contradicts rather than matches the urban-barrier cluster.","Claims rural life demands intentional social planning while cities afford spontaneity, the reverse of the city-as-barrier claim."
2,RT_3B07C47B55A1,C16,C16,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C16,"Meat is sought as the treat that justifies paying to eat out, a claim about the elevated quality expected of dining out.","Treats paid dining out as a superior occasion warranting a special, better-quality choice unlike everyday home eating."
2,RT_43D0AFB1E329,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Bereavement collapsing meal structure and forcing deliberate rebuilding differs in agent and cause from retirement, partner-reliance or loneliness claims.",Bereavement collapsing and requiring rebuilding of meal structures is a distinct life-disruption mechanism not covered by the retirement or ageing clusters.
2,RT_43D3909355E1,C1,C2,CROSS_MODEL_UNRESOLVED,,The substantive claim is that eating runs on habit and conditioning rather than deliberate decision-making.,Asserts that food choices run on autopilot shaped by upbringing and cultural conditioning rather than active deliberation.
2,RT_555EA8AB162F,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,A debate about agricultural and livestock consequences of plant-based shifts matches no cluster's claim about personal eating or local life.,Debate over agricultural and environmental consequences of mass plant-based shifts matches no cluster.
2,RT_691F5E9DF0ED,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"It attributes everyday eating patterns to budget, availability and ingrained upbringing rather than active planning.","Claims everyday food habits are driven by budget, availability and ingrained habit rather than deliberate planning."
2,RT_6A9D838E8BE7,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,The claim is that eating decisions are made in the moment by flexibly reacting to whatever options are immediately at hand rather than by plan.,Claims eating decisions are made spontaneously in the moment from whatever is immediately at hand rather than by plan.
2,RT_6C9C0E72DF3A,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The dispute over whether constrained or chosen community is more authentic does not map onto any single cluster's claim.,Debating whether constrained or chosen community ties are more authentic is not a claim any cluster makes.
2,RT_7161F3C25FD4,C8,C8,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C8,"It claims the value of socialising lies in the ability to hold genuine conversation, which is the core of shared-meal connection.",Claims the value of shared eating/socialising lies in the space it gives for genuine conversation rather than the setting.
2,RT_73479808C64C,C1,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim is that food choosing is normally passive and unreflective, with only rare interruptions of deliberation.",The claim that passive habit is occasionally interrupted by momentary reflection at the point of purchase fits no cluster's claim.
2,RT_7D82237853D7,C1,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The claim is that awareness does not displace habitual, convenience-led eating behaviour.",The claim that intellectual awareness need not translate into behavioural change is not asserted by any cluster.
2,RT_84731CE8E5EA,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,A debate over whether location or personal agency determines dietary variety does not resolve to a single cluster's claim.,The dispute over whether local availability or personal agency shapes dietary variety fits no single cluster claim.
2,RT_868E97BA4F16,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,Eating patterns are claimed to follow practical considerations and preference rather than principle or planning.,Claims eating patterns rest on practical considerations and preference rather than deliberate ideology.
2,RT_8787ADFE5BAB,C17,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim is that self-built habitual routines become entrenched defaults that resist change independently of outside pressure.,"Claims self-built routines act as constraints on change, a stance distinct from routines-as-comfort or community surveillance."
2,RT_8D2CED3DFCFA,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that individuals retain agency to connect despite few options fits none of the community clusters' specific assertions.,"Asserts individual agency to connect or isolate despite few options, which no cluster claims."
2,RT_91DD1EFDCF67,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Parenthood constraining friendship maintenance is a life-stage claim distinct from retirement restructuring or geographic barriers.,Parenting obligations as an obstacle to sustaining friendships is a mechanism absent from all clusters.
2,RT_93552C1A29B6,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"It compares rural isolation and urban cognitive fatigue as parallel barriers, mixing mechanisms that belong to no single cluster's claim.",Comparing rural physical isolation with urban cognitive fatigue as parallel constraints is not the claim of any single cluster.
2,RT_A85F0536533B,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Health, ethics and guilt as motives for cutting meat is a deliberative claim absent from the taxonomy, which treats meat as unexamined default.","Health, ethical and guilt-based motivations for cutting meat correspond to no cluster's claim."
2,RT_AA7C56D47AD2,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that habits require showing up amid imperfect conditions is a general persistence argument not captured by any cluster.,The claim that habits require follow-through despite imperfect conditions is not made by any cluster.
2,RT_ADA54A864358,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"This is a reflexive claim about conforming to a discussion's narrative, not a claim about food, routine or community itself.",A reflexive observation about oversimplifying one's behaviour to fit a group narrative is not a substantive claim in the taxonomy.
2,RT_AFFAAFAE9082,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Resentment at moral judgement for eating meat runs opposite in direction to the cluster about norms reinforcing traditional meat eating.,Resentment at moral judgement from non-meat-eaters is a different social dynamic from peer reinforcement of traditional male eating.
2,RT_B71ED9DF7853,C17,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The theme's core assertion is that returning to the same venues is a comfortable psychological default, weighed against scarcity of options.",The unresolved debate over whether repeat venue visits stem from psychological default or absent alternatives spans two different causal claims.
2,RT_BF9F30A9CBD7,C17,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"The debate is about whether socialising is driven by comfortable habitual defaults or by active choice, centred on the default-routine claim.",Debating whether outgrowing a social routine is deliberate choice or reaction to staleness matches no cluster's claim.
2,RT_C1640729BE50,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Whether belonging feels authentic when instinctual versus chosen is not the claim of the visibility/anonymity or loneliness clusters.,The claim that belonging feels different when instinctive versus deliberate is not represented in the taxonomy.
2,RT_C69B6F22B333,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,It asserts that convenient app-based ordering displaces traditional local food spots and the authentic community trade they supported.,Claims the shift from local food outlets to app/corporate ordering erodes authentic local connection in exchange for convenience.
2,RT_C8F87DCF4B63,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"Daily food decisions are claimed to shift with mood, tiredness and circumstance in the moment rather than a plan.","Holds that meal decisions flex with mood, tiredness and immediate circumstance rather than a fixed plan."
2,RT_D7E58783202B,C17,C17,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C17,The pub is described as the predictable default social venue requiring no decision.,"Treats the pub as the predictable default venue chosen without deliberation, matching comfort-in-defaults."
2,RT_DBE288BF810F,C17,C17,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C17,The tension between familiar staple orders and novelty rests on the comfort of habitual choices.,"Centres on the pull of predictable staple orders that require no active deliberation, matching the defaulting-to-familiar claim."
2,RT_DE267D8C5009,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Constraint by dietary restrictions and group accommodation is a distinct mechanism from convenience, mood, or social bonding claims.",Constraint from dietary restrictions and group accommodation is not the connection-through-meals claim nor any other cluster's claim.
2,RT_E35609B43814,C11,C11,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C11,"It asserts that village familiarity does not automatically produce real community support, requiring effort instead.",Shares the sceptical claim that living in and being part of a close community does not itself produce genuine connection.
2,RT_E6EAD8C89355,C10,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim concerns the loss of a local independent anchor and the resulting damage to community-based patterns.,The claim that losing a community anchor unravels an interconnected web of weekly habits differs from the local-shop decline/convenience tension claim.
2,RT_F15DA63D4AB8,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,It directly stages the tension between the convenience option and supporting available local alternatives.,Directly voices the tension between leaning on convenience and supporting available local alternatives.
2,RT_F667293F406B,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,A desire for autonomous small decisions free of negotiation is not the same claim as a partner carrying the meal-planning load.,"A desire for autonomous, unnegotiated small decisions is not asserted by any cluster, including the partner-reliance one."
2,RT_F835CD4184D0,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,Meals are assembled around whatever ingredients are already available rather than following a fixed plan.,Meals are built around whatever ingredients are already on hand rather than a set plan.
2,RT_F870E036A83E,C17,C17,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C17,The claim centres on the comfort of familiar default venues and habits in socialising.,"Affirms the comfort and ease of habitual social defaults, with openness to change as a qualifier."
2,RT_FDA56130F0E3,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"This claims meat eating is a consciously chosen preference, the opposite stance to the unquestioned-default cluster.","This explicitly denies that meat eating is an unexamined default, the opposite stance to the meat-as-default cluster."
3,RT_0085A1684032,C5,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Claims that entrenched routine, not available options, dictates unexamined default food/venue choices, matching the routine-as-automatic-default claim.","It claims habitual defaulting occurs regardless of the abundance or scarcity of options, which contradicts rather than instantiates the geographic-constraint cluster."
3,RT_02520CEBD7F5,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The value of small incremental actions against passivity is not a claim in the taxonomy.,The claim about the worth of small incremental actions against passivity corresponds to no cluster definition.
3,RT_0DDE8A17FF80,C12,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Laments the loss of eating without reflection, i.e. the erosion of the non-reflection privilege.","It claims meat-eaters have lost the ability to eat unreflectively, the reverse of the cluster asserting conformists enjoy that luxury, and it is not about alternative diets."
3,RT_1C4BF57BCD6C,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Exposure through travel and supermarket variety broadening diets matches no cluster's claim.,The claim that travel and retail variety expand culinary repertoires corresponds to no cluster definition.
3,RT_1F8B25783568,C7,C7,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C7,Claims local food environment creates structural friction that forces planning or permits effortlessness.,The claim is that the physical food environment creates structural friction making some choices require planning rather than being automatic.
3,RT_2381CCCAE689,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Complicity through silence in sustaining dining norms is not the claim of any listed cluster.,"The claim is that unaffected bystanders' silence perpetuates restrictive dining norms, a complicity argument that no cluster's definition makes."
3,RT_26E278878FDE,C12,C12,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C12,Deliberate ignorance about sourcing preserves the ability to eat without self-examination.,The claim is that deliberately avoiding knowledge preserves the ability to eat without self-examination or habit change.
3,RT_2F8FD893A2EE,C7,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Concerns effort in food sourcing, framing supermarket convenience as chosen rather than imposed by circumstance.","The claim frames convenience shopping as a deliberate refusal to make effort rather than a constraint or a gendered skills deficit, fitting none of the clusters."
3,RT_329CC71A649C,C2,C2,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C2,Describes persistent internal self-monitoring of food choices despite knowing no one is judging.,It describes internal self-policing driven by a persistent felt sense of being watched despite knowing others do not care.
3,RT_38B4D706D622,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that ageing loosens masculine dietary constraints is not represented in the taxonomy.,The claim that ageing loosens masculine dietary constraints introduces a life-stage mechanism not covered by any cluster.
3,RT_3AFBBE68D09E,C13,C13,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C13,"Claims internalized notions of a 'proper meal' obstruct men from cooking for themselves, a deficit in male cooking expectations.","It claims internalized notions of a proper meal deter men from preparing food themselves, a barrier to men's cooking."
3,RT_3B8BFC14E391,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Self-critique of reflection as a substitute for action matches no cluster claim.,"The self-critique that reflective talk substitutes for action is a meta-claim about the discussion itself, not covered by any cluster."
3,RT_3E3944EC6FF1,C3,C10,CROSS_MODEL_UNRESOLVED,,"Questions gender as a driver and attributes eating to personal enjoyment, the gender-irrelevance claim.",The theme is an unresolved debate over whether gendered expectation or genuine personal enjoyment drives their eating.
3,RT_43DB2B9BB4B6,C5,C5,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C5,"Attributes gendered eating to expectations absorbed from watching men eat while growing up, i.e. upbringing-set defaults.",It locates gendered eating in embedded expectations absorbed from watching men in one's upbringing rather than in deliberate performance.
3,RT_451F57F7A487,C2,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,"Asserts that male company drives heartier/larger eating, i.e. group-driven conformity in men's eating.","The claim is that the gender composition of one's company alters portion size, which differs from familiarity-based easing of pressure or policing of food type."
3,RT_4E5BF59807AD,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"Attributes eating differences to body size rather than gendered food categories, denying gender's relevance.","It attributes eating differences to body size rather than gender, denying gender as a meaningful driver."
3,RT_52C3488C9A62,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Cumulative loss of personal agency through everyday concessions in relationships is outside all cluster claims.,The claim about cumulative loss of agency from conceding everyday decisions in relationships is not the mental-load or skills claim of any cluster.
3,RT_57C4B0B5936A,C10,C10,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C10,"Explicitly debates whether the behaviour is externally imposed or self-generated, the agency-versus-conditioning tension.",It debates whether the heightened dietary self-consciousness is externally imposed or internalized and co-produced by the individual.
3,RT_68230138F3ED,C7,C7,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C7,Debates whether geography constrains the ability to source food thoughtfully.,"It debates how rural versus urban location constrains one's capacity to source food thoughtfully, the geographic-constraint claim."
3,RT_794C17F27D97,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Guilt over convenience apps hastening the loss of community food spaces is not the effortful-planning claim of C7 nor any other cluster.,"The claim concerns guilt over one's own contribution to the loss of community food spaces, not the planning effort caused by limited local retail or any other cluster's mechanism."
3,RT_807E41C123E6,C11,C2,CROSS_MODEL_UNRESOLVED,,"Claims choosing meat reduction carries social risk and provokes defensiveness, so people avoid the charged choice.",The claim is that anticipated social friction and others' defensiveness pressures men to avoid meat-reduction choices.
3,RT_8639EBE239BE,C4,C4,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C4,"Highlights men's unacknowledged reliance on partners for meal provision, the wife-carries-the-food-work claim.",The claim is that men rely unacknowledgedly on partners to handle meal provision while professing independence.
3,RT_886006CBEE7D,C11,C11,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C11,Claims a man's vegetarianism is read as carrying social meaning about his identity rather than being a neutral diet.,The claim is that a man's vegetarianism is read as a loaded statement carrying assumptions about his masculinity.
3,RT_9117DEF27560,C8,C8,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C8,Self-censorship arises specifically from lack of anonymity and gossip in close-knit local networks.,It claims fear of gossip and mockery within close-knit networks leads men to censor their food choices.
3,RT_936FCCF376E2,C7,C7,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C7,Claims restricted local options compel intentional food planning whereas abundance yields mindless defaults.,"It asserts that restricted options force deliberate intentionality while abundant convenience permits automatic defaulting, the core claim about limited choice disrupting routine."
3,RT_A0DA7A5A873B,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Cooking as an act of care and social connection is a distinct positive claim not captured by the cooking-deficit cluster.,"It positively frames cooking as a skill of care and connection, which is not the claim of diminished expectations and passive convenience-reliance."
3,RT_A1EA1F6DAF84,C12,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Mourns the loss of settings where identity and routine could be lived without conscious self-examination.,"The claim that disappearing communal spaces removes settings for unreflective identity is about spatial loss, not the dietary privilege of non-reflection or geographic planning burden."
3,RT_A9B4A9BBCBA6,C3,C8,CROSS_MODEL_UNRESOLVED,,"Rejects gender as the operative explanation for dietary pushback, attributing it to norm-consistency instead.",It attributes pushback to the violation of shared local norms and consistency within the community rather than to gender.
3,RT_B13D5037E828,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Generational openness to plant-based eating is not a claim covered by any cluster.,The generational claim that younger people are more accustomed to plant-based food matches no cluster.
3,RT_B17D98D60A44,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,Asserts meat consumption is bound to traditional masculinity as the normative expectation for men.,The substantive claim is that meat consumption is culturally bound to traditional manhood as the expected norm for men.
3,RT_B324102EF35A,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim that changing diet threatens one's sense of self is not the substantive claim of any cluster.,The claim that changing diet threatens one's sense of self is an identity-loss argument distinct from habits being unexamined defaults.
3,RT_B79F6814014F,C11,C11,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C11,Treats dietary choice as a morally/politically charged position that attracts judgment from both camps.,It treats diet as a morally charged battleground where dietary identity invites judgment and social risk from both camps.
3,RT_B96D1F4F51DD,C1,C1,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C1,"Fire and meat-smoking are cast as masculine terrain, reflecting meat's cultural coding as men's domain.","The claim is that fire and meat cookery is culturally coded as masculine, an instance of meat-masculinity association."
3,RT_BAFB0E2F22F6,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,The claim about shared meals failing to relieve loneliness has no counterpart cluster.,"The claim concerns the limits of shared meals in relieving loneliness, a topic outside every cluster."
3,RT_C4A8753FE989,UNCERTAIN,UNCERTAIN,CROSS_MODEL_UNRESOLVED,,Price and value-for-money as the driver of food selection is not any cluster's claim.,"Its claim is that price and value drive food selection, an economic mechanism absent from the taxonomy."
3,RT_D1F4032B0B4F,C2,C2,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C2,"Men avoid non-traditional food choices in public and hide eating to escape social judgment, i.e. policing and self-policing.",The claim is that fear of social judgment over eating alone or choosing non-traditional food pushes men to avoid public dining.
3,RT_DA9F6BB46C7D,C3,C3,CROSS_MODEL_CONSENSUS_ASSIGNMENT,C3,"Points to class and setting rather than gender as shaping eating, rejecting gender as the meaningful influence.","It denies gender as the operative influence, attributing eating choices to other non-gender factors such as class and setting."
