act_id,side,fg,run,condition,section_index,section_label,act_index_in_section,selection_mode,prev_turn_id,prev_speaker,prev_words,resp_turn_id,resp_speaker,resp_words,n_clauses,d1_div,d1_align,d1_hedge,d1_div_hits,d1_align_hits,d1_label,d1_div_full,d1_align_full,d1_label_full,prev_text,resp_text
8bab4ef3fd53,human,fg1,,human,4,Imagining a plant-based shift,3,,T035,David,3,T036,Amir,60,5,0,0,0,,,none,0,0,none,"Yeah, that's fine.","Um, I think my whole, like, diet would have to change because, um, I'm quite fond of the gym, so I have, like, protein in every meal. So, like, chicken, tuna, beef. So I'd have to, you know, change, like, my whole diet, change my whole cooking style, find new recipes, and I think it'd be a lot of effort."
775232c16878,human,fg1,,human,4,Imagining a plant-based shift,4,,T036,Amir,60,T037,Isaiah,105,9,0,0,0,,,none,0,0,none,"Um, I think my whole, like, diet would have to change because, um, I'm quite fond of the gym, so I have, like, protein in every meal. So, like, chicken, tuna, beef. So I'd have to, you know, change, like, my whole diet, change my whole cooking style, find new recipes, and I think it'd be a lot of effort.","Yeah, uh, imagine if you, imagine if you decided to go plant based. [unintelligible] decide to go plant based now. It's going to really, a lot of things have to change. Because, one, I'm an athlete, I, uh, I go gymming every time, I go training almost every time like that. And coming to plant based, you know, try kind of get a strength training and going plant based, a lot of things have to change. A lot of things has to change. Even the ways of life where you go to the trainings and all of those things has to be just changed totally."
888df590e180,human,fg1,,human,4,Imagining a plant-based shift,5,,T037,Isaiah,105,T038,Ibrahim,113,15,0,0,0,,,none,0,0,none,"Yeah, uh, imagine if you, imagine if you decided to go plant based. [unintelligible] decide to go plant based now. It's going to really, a lot of things have to change. Because, one, I'm an athlete, I, uh, I go gymming every time, I go training almost every time like that. And coming to plant based, you know, try kind of get a strength training and going plant based, a lot of things have to change. A lot of things has to change. Even the ways of life where you go to the trainings and all of those things has to be just changed totally.","Okay. Going plant based. I guess a lot of things have changed because I am basically new and trying to adapt. So I would have to work on my diet. I would have to work on my diet. I would have to work on the foods I eat. I would have to get more education and enlightenment concerning plant based. I would also have to change my friends. Because basically, I have friends who are gym rats, who love to go to the gym together, who love to do strength training and the like. So I have to change my friends to people who are probably agriculturists, and have more interest in plants."
af8c655aa912,human,fg1,,human,4,Imagining a plant-based shift,6,,T038,Ibrahim,113,T039,Will,78,6,0,0,0,,,none,0,0,none,"Okay. Going plant based. I guess a lot of things have changed because I am basically new and trying to adapt. So I would have to work on my diet. I would have to work on my diet. I would have to work on the foods I eat. I would have to get more education and enlightenment concerning plant based. I would also have to change my friends. Because basically, I have friends who are gym rats, who love to go to the gym together, who love to do strength training and the like. So I have to change my friends to people who are probably agriculturists, and have more interest in plants.","Um, God, it would be, it would be quite the change, but, you know, I have had plant based stuff before, like the fake doner meat, which is actually all right. Um, but again, you just need to learn what different things you could make. So mince pies, couldn't have that again, uh, burgers, couldn't have that. And I'm not keen on the fake products, like the fake sausages, the fake bacon, any of that, because it’s just..."
19d57d8c7017,human,fg1,,human,4,Imagining a plant-based shift,7,,T039,Will,78,T040,David,3,1,0,0,0,,,none,0,0,none,"Um, God, it would be, it would be quite the change, but, you know, I have had plant based stuff before, like the fake doner meat, which is actually all right. Um, but again, you just need to learn what different things you could make. So mince pies, couldn't have that again, uh, burgers, couldn't have that. And I'm not keen on the fake products, like the fake sausages, the fake bacon, any of that, because it’s just...",The important stuff.
6975050280aa,human,fg1,,human,4,Imagining a plant-based shift,8,,T040,David,3,T041,Will,192,18,0,0,0,,,none,0,0,none,The important stuff.,"yeah, it's just not the same thing.
And I think I would find it very difficult, but I suppose like, I have, like, risotto, and risotto you can have with different stuff, so you don't have to have chicken with it. You could have, um, butternut squash, stuff like that. You could also have, um, gnocchi, um, which is just as good again.
Plant based, you know, I, I, I don't know. I just don't know how I would adapt to it. But I think about things quite often. I think I could, I could become a pescatarian because I just don't think sometimes the thought of chicken just you just kind of think about it a bit too much but I think if you smelt like bacon cooking it would be oh my god I've got to have that um or sausages or something like that um but you just learn. You would maybe substitute stuff for different things, but of course the staple meals that you've had before would have to change. Or at least just try some of the plant based stuff, but I'm not too keen on it."
da549b10efc6,human,fg1,,human,4,Imagining a plant-based shift,9,,T041,Will,192,T042,David,12,2,0,0,0,,,none,0,0,none,"yeah, it's just not the same thing.
And I think I would find it very difficult, but I suppose like, I have, like, risotto, and risotto you can have with different stuff, so you don't have to have chicken with it. You could have, um, butternut squash, stuff like that. You could also have, um, gnocchi, um, which is just as good again.
Plant based, you know, I, I, I don't know. I just don't know how I would adapt to it. But I think about things quite often. I think I could, I could become a pescatarian because I just don't think sometimes the thought of chicken just you just kind of think about it a bit too much but I think if you smelt like bacon cooking it would be oh my god I've got to have that um or sausages or something like that um but you just learn. You would maybe substitute stuff for different things, but of course the staple meals that you've had before would have to change. Or at least just try some of the plant based stuff, but I'm not too keen on it.","It's just a bit bland, innit, sometimes? It just doesn't taste right."
1c40656dd7a4,human,fg1,,human,4,Imagining a plant-based shift,10,,T042,David,12,T043,Will,34,6,0,0,0,,,none,0,0,none,"It's just a bit bland, innit, sometimes? It just doesn't taste right.","I've tried, like, the fake doner meat, I've had that. It's pretty good. Um, have it in a wrap and things. You couldn’t tell the difference. I suppose it's just the spiciness of it."
b818bc12c01e,human,fg1,,human,4,Imagining a plant-based shift,11,,T043,Will,34,T044,David,20,2,0,0,0,,,none,0,0,none,"I've tried, like, the fake doner meat, I've had that. It's pretty good. Um, have it in a wrap and things. You couldn’t tell the difference. I suppose it's just the spiciness of it.","Certainly like, in Scotland, it's like a proper culture, like eating meat as well, though. It's hard to get like"
33b76bee1487,human,fg1,,human,4,Imagining a plant-based shift,12,,T044,David,20,T045,Will,17,4,0,0,0,,,none,0,0,none,"Certainly like, in Scotland, it's like a proper culture, like eating meat as well, though. It's hard to get like","Yeah, I know, like pies, like mince pies and steak pies and all that. Yeah, it's difficult."
3a25c385596f,human,fg1,,human,5,Making plant-based foods more appealing,1,,T047,David,140,T048,Amir,119,11,0,0,0,,,none,0,0,none,"Um more appealing is that you've got to make them taste better, I would say, first of all.
Like, you've got to give them a bit more flavour and a bit more. I don't know, you've just got to make it feel like you're eating something substantial. Because sometimes when you're eating plant based stuff, it can just taste a bit rubbery, a bit like just not much going on is the biggest thing I've heard from, from my pals.
Um, and just maybe make it a bit, because some of it's quite expensive as well. Like if you want to go for that like alternative plant based, it can be more expensive and I think that puts off a lot of people. So I'd say, yeah, taste is the biggest one and then price is gonna be the second.","Um, I personally think that, so when you look at the label at the back and you see all the, the additives and, like, the preservatives and, you know, all this stuff they added in. It's a bit, um, not demoralising, but it turns you away from buying it because I don't really know what I'm putting inside my body. Because, you know, just chicken is, it's made of chicken. Whereas, if I bought a plant based one, it has some random stuff I never heard of and I'm not comfortable in putting that in. So, if, if the ingredient list was a bit shorter and I was familiar with it, maybe it would be more appealing to me."
d2761fe4915c,human,fg1,,human,5,Making plant-based foods more appealing,2,,T048,Amir,119,T049,David,44,3,0,0,0,,,none,0,0,none,"Um, I personally think that, so when you look at the label at the back and you see all the, the additives and, like, the preservatives and, you know, all this stuff they added in. It's a bit, um, not demoralising, but it turns you away from buying it because I don't really know what I'm putting inside my body. Because, you know, just chicken is, it's made of chicken. Whereas, if I bought a plant based one, it has some random stuff I never heard of and I'm not comfortable in putting that in. So, if, if the ingredient list was a bit shorter and I was familiar with it, maybe it would be more appealing to me.","If there was just like a bit more education around what goes in it as well, I guess. If it was more commonly known about like, look, this is what we're putting in instead of chicken or that. It's like, okay, I understand that."
0eb999f87338,human,fg1,,human,5,Making plant-based foods more appealing,3,,T049,David,44,T050,Amir,30,3,0,0,0,,,none,0,0,none,"If there was just like a bit more education around what goes in it as well, I guess. If it was more commonly known about like, look, this is what we're putting in instead of chicken or that. It's like, okay, I understand that.",So like chicken will just say chicken on the back. Whereas a plant based one would have something like glycolic acid or something. I have no idea what that is.
cbad2254a677,human,fg1,,human,5,Making plant-based foods more appealing,4,,T050,Amir,30,T051,Isaiah,88,9,0,0,0,,,none,0,0,none,So like chicken will just say chicken on the back. Whereas a plant based one would have something like glycolic acid or something. I have no idea what that is.,"Yeah, plant based. I think mostly plant based are vegetables. I don't know. Yeah, I bet it was. I read that back there in Nigeria. Uh, some vegetables like that, uh, mostly, you know, they are plant based and they are good for the body, very good for the body, uh, uh, good for the heart, uh, and it makes you, it makes you, uh, it makes you watch your body very well, and they are good for with, uh, uh, for checking of your weight also mostly."
58d84b164df7,human,fg1,,human,5,Making plant-based foods more appealing,5,,T051,Isaiah,88,T052,Ibrahim,68,6,0,0,0,,,none,0,0,none,"Yeah, plant based. I think mostly plant based are vegetables. I don't know. Yeah, I bet it was. I read that back there in Nigeria. Uh, some vegetables like that, uh, mostly, you know, they are plant based and they are good for the body, very good for the body, uh, uh, good for the heart, uh, and it makes you, it makes you, uh, it makes you watch your body very well, and they are good for with, uh, uh, for checking of your weight also mostly.","Um, plant based foods might be appealing to me in the sense that (.), um, they contain less calories. It helps in, uh, regulating your blood sugar, preventing diabetes. It's also many health, um, advantages with it. And I feel it's much more better than, okay, the, the lot of calories we're taking from, uh, normal, regular foods we eat. Plant based foods might be appealing to me."
1d2fd8bf85ed,human,fg1,,human,5,Making plant-based foods more appealing,6,,T052,Ibrahim,68,T053,Will,253,25,0,0,0,,,none,0,0,none,"Um, plant based foods might be appealing to me in the sense that (.), um, they contain less calories. It helps in, uh, regulating your blood sugar, preventing diabetes. It's also many health, um, advantages with it. And I feel it's much more better than, okay, the, the lot of calories we're taking from, uh, normal, regular foods we eat. Plant based foods might be appealing to me.","Um, I think more education about it would be good. Again (.), um, about the like the actual ingredients. As well, I think that needs to be what's actually going into this. What am I actually eating here? Um, um, like if it was, I don’t know, like, again, it's like very rubbery and needs to be better, a better product thing.
It needs to get through a taste panel a few more times. What do people, what did they actually think about it? Just trying to make it not so rubbery. I think that's the problem. And make it taste a bit better, a bit more salt and pepper, maybe. And, you know, the price is really, it is expensive. If you want to compete with that, you need to bring it, you need to try and make it as best as possible, but you kind of need to make it, um, for the average person to be able to afford it, you know, week after week doing their shopping.
Um, and then maybe some, I don't know, recipe ideas, like what can I actually do with this? Because the things that just pop into my head are the fake sausages and the fake bacon, but what, you know, you're not going to have that in a roll. Um, what can you actually do with this stuff, you know, some recipes, stuff, stuff like that. Maybe seeing it on, you know, those cooking programs on the telly, stuff like that, you know."
8487ea3ffbc1,human,fg1,,human,5,Making plant-based foods more appealing,7,,T053,Will,253,T054,David,27,2,0,0,0,,,none,0,0,none,"Um, I think more education about it would be good. Again (.), um, about the like the actual ingredients. As well, I think that needs to be what's actually going into this. What am I actually eating here? Um, um, like if it was, I don’t know, like, again, it's like very rubbery and needs to be better, a better product thing.
It needs to get through a taste panel a few more times. What do people, what did they actually think about it? Just trying to make it not so rubbery. I think that's the problem. And make it taste a bit better, a bit more salt and pepper, maybe. And, you know, the price is really, it is expensive. If you want to compete with that, you need to bring it, you need to try and make it as best as possible, but you kind of need to make it, um, for the average person to be able to afford it, you know, week after week doing their shopping.
Um, and then maybe some, I don't know, recipe ideas, like what can I actually do with this? Because the things that just pop into my head are the fake sausages and the fake bacon, but what, you know, you're not going to have that in a roll. Um, what can you actually do with this stuff, you know, some recipes, stuff, stuff like that. Maybe seeing it on, you know, those cooking programs on the telly, stuff like that, you know.","I think the biggest thing is like, try to make it so I don't, I don't know that I'm not eating meat would be the best way."
00fc7221303a,human,fg1,,human,5,Making plant-based foods more appealing,8,,T054,David,27,T055,Will,2,2,0,0,0,,,none,0,0,none,"I think the biggest thing is like, try to make it so I don't, I don't know that I'm not eating meat would be the best way.",Yeah. yeah.
4a3837202834,human,fg1,,human,5,Making plant-based foods more appealing,9,,T055,Will,2,T056,David,22,4,0,0,0,,,none,0,0,none,Yeah. yeah.,"It's like, make it so good and so close to meat that I'm like, oh, this could be meat. I don't know."
5f624637dbb1,human,fg1,,human,5,Making plant-based foods more appealing,10,,T056,David,22,T057,Will,17,2,0,0,0,,,none,0,0,none,"It's like, make it so good and so close to meat that I'm like, oh, this could be meat. I don't know.","Yeah, like I keep coming back to that doner meat. It's really, it is actually really good."
a6aae0f62256,human,fg1,,human,5,Making plant-based foods more appealing,11,,T057,Will,17,T058,David,8,2,0,0,0,,,none,0,0,none,"Yeah, like I keep coming back to that doner meat. It's really, it is actually really good.",Where is it from? Just like the shop?
187470dc5e28,human,fg1,,human,5,Making plant-based foods more appealing,12,,T058,David,8,T059,Will,13,2,0,0,0,,,none,0,0,none,Where is it from? Just like the shop?,I can't remember what it was called. It was just at a Tesco.
489940c7bec6,human,fg1,,human,5,Making plant-based foods more appealing,13,,T059,Will,13,T060,David,18,3,0,0,0,,,none,0,0,none,I can't remember what it was called. It was just at a Tesco.,"Oh, it wasn't like on a night out or that? You didn't go in and ask for it?"
6085cc6b4fd1,human,fg1,,human,5,Making plant-based foods more appealing,14,,T060,David,18,T061,Will,45,7,1,0,0,"no,",,divergence,1,0,divergence,"Oh, it wasn't like on a night out or that? You didn't go in and ask for it?","No, no, no. It was like proper I've bought it a few, yeah, I've bought it a few times. You stick it in the pan, you cook it, and then put it in a wrap with lettuce and tomato and it's quite good, so um"
0b62553391ce,human,fg1,,human,5,Making plant-based foods more appealing,15,,T061,Will,45,T062,David,19,2,0,0,0,,,none,0,0,none,"No, no, no. It was like proper I've bought it a few, yeah, I've bought it a few times. You stick it in the pan, you cook it, and then put it in a wrap with lettuce and tomato and it's quite good, so um","I’m gonna look out for that. I think that's about it I think, that's about it with the questions."
04bcf718982c,human,fg1,,human,5,Making plant-based foods more appealing,16,,T062,David,19,T063,Amir,7,1,0,0,0,,,none,0,0,none,"I’m gonna look out for that. I think that's about it I think, that's about it with the questions.",Yeah I think that's all the questions.
9efb1c229ffd,human,fg2,,human,1,Opening discussion: male friendship and place,1,,T001,Henry,70,T002,Noah,83,9,0,0,0,,,none,0,0,none,"I don’t mind starting point one, uh, my favourite place in my city to spend time with my male friends is the golf course.  Uh, the reason why is  I can just get away from the stresses of my life , um,  I suppose it’s like a journey along with golf.  Yeah, I just feel  a lot more relaxed and free, I guess, when I'm with my friends playing golf.","I’ll go. At the moment, um, it’s probably at the bar, because you watch the Euros at the moment. So it's quite a, it's quite quite a male sort of dominated environment in general.  Um, but then during the winter of play, I play rugby. So it's,  again, it's a sporting type thing where you go out and thrash it out with 29 other guys. So again, it's about that sort of just escaping from sort of the day to day mundane, mundaneness."
fff844451ee4,human,fg2,,human,1,Opening discussion: male friendship and place,2,,T002,Noah,83,T003,Connor,90,9,0,0,0,,,none,0,0,none,"I’ll go. At the moment, um, it’s probably at the bar, because you watch the Euros at the moment. So it's quite a, it's quite quite a male sort of dominated environment in general.  Um, but then during the winter of play, I play rugby. So it's,  again, it's a sporting type thing where you go out and thrash it out with 29 other guys. So again, it's about that sort of just escaping from sort of the day to day mundane, mundaneness.","Um, actually I don't have any, uh, favourite place. Um, probably comes from the fact that I like to explore new places and I'm looking  for the perfect place, so until like I didn't find that I think we'll go to other places and yeah, that's. To be honest, I don't think I will find one but it's just probably, uh, yeah, I just like to see something different. I did go to places, uh, that I've been before but there's not like the one place I would always go."
727c50242cfe,human,fg2,,human,1,Opening discussion: male friendship and place,3,,T003,Connor,90,T004,Sam,83,7,0,0,0,,,none,0,0,none,"Um, actually I don't have any, uh, favourite place. Um, probably comes from the fact that I like to explore new places and I'm looking  for the perfect place, so until like I didn't find that I think we'll go to other places and yeah, that's. To be honest, I don't think I will find one but it's just probably, uh, yeah, I just like to see something different. I did go to places, uh, that I've been before but there's not like the one place I would always go.","I think, um, for me, um, it's similar to Noah and just probably just the pub. Um, there's not really much to do or offer in Swindon to be honest. But um yeah, just going down the pub and just yeah, just have a bit of fun and get away from day to day nine to five  stuff. And particularly you know, whilst the Euros is on it's been quite fun so, um, yeah, just like pub at the weekend or something similar."
adff0decb78d,human,fg2,,human,1,Opening discussion: male friendship and place,4,,T004,Sam,83,T005,Bilal,48,4,0,0,0,,,none,0,0,none,"I think, um, for me, um, it's similar to Noah and just probably just the pub. Um, there's not really much to do or offer in Swindon to be honest. But um yeah, just going down the pub and just yeah, just have a bit of fun and get away from day to day nine to five  stuff. And particularly you know, whilst the Euros is on it's been quite fun so, um, yeah, just like pub at the weekend or something similar.","On me, I like the coffee shop like we have like Nero, Coffee Nero. We walk to town hall sometimes we gather with friends there and just sitting in with a view and there are some options for drink anything to [unintelligible], I like there I could say."
