question,f1_theme_key,cluster_id,is_new_cluster,is_uncertain
3,F1T_253CB30BD4B4,C15,False,False
3,F1T_123EBCD24F44,C2,False,False
3,F1T_BF35A7B60B12,C9,False,False
3,F1T_F7BBA173456B,C1,False,False
3,F1T_E86C5DD0AAC1,C1,False,False
3,F1T_FE55088AEF4D,NEW_CLUSTER,True,False
3,F1T_BE211301E1E0,NEW_CLUSTER,True,False
3,F1T_EAEA67CE1CCE,C1,False,False
3,F1T_A0F6B5EA5B1A,NEW_CLUSTER,True,False
3,F1T_571634C0BC84,NEW_CLUSTER,True,False
4,F1T_2AFFC1985A84,C15,False,False
4,F1T_F04C9FDE2A53,NEW_CLUSTER,True,False
4,F1T_DA59799468E6,C3,False,False
4,F1T_AC99463E6D04,C12,False,False
4,F1T_2264E368ABE6,C4,False,False
4,F1T_936D202001CC,C9,False,False
4,F1T_FD1AB23C8AA5,C7,False,False
4,F1T_6D27FE3154D2,C3,False,False
4,F1T_1BBAF828430A,C16,False,False
4,F1T_5D360F348AC3,C9,False,False
4,F1T_C6A89CFF0405,C3,False,False
4,F1T_AA59AD09032B,C1,False,False
4,F1T_221CE310A0F6,C16,False,False
4,F1T_85E1CA0893B4,C12,False,False
4,F1T_99FA0765ADD2,C12,False,False
4,F1T_101109E64719,C17,False,False
4,F1T_A54EACE72B63,C20,False,False
4,F1T_2F60FBEB60B7,C8,False,False
4,F1T_2B213FAF1490,C5,False,False
4,F1T_A4C184044F58,C2,False,False
4,F1T_54BDB6182AE2,NEW_CLUSTER,True,False
4,F1T_36957E5CEDD0,C6,False,False
4,F1T_45A422E810DB,C5,False,False
4,F1T_968CD997F60D,C10,False,False
4,F1T_2B78A5045342,C6,False,False
4,F1T_126813673894,C6,False,False
4,F1T_538818614EFF,C8,False,False
4,F1T_ADE9BB6C0550,C10,False,False
4,F1T_89899842F7EB,C6,False,False
4,F1T_467DC1DD694A,C21,False,False
5,F1T_C6223B3D783D,C13,False,False
5,F1T_2C2012D65037,C1,False,False
5,F1T_DFCE568715A8,C13,False,False
5,F1T_5893C534A28B,C2,False,False
5,F1T_71E199B0410B,C14,False,False
5,F1T_62D2601F6F39,C10,False,False
5,F1T_1AA783E876D0,C13,False,False
5,F1T_2CBA30B2671E,NEW_CLUSTER,True,False
5,F1T_220A439C6163,C5,False,False
5,F1T_57980E16218E,C4,False,False
5,F1T_57C7253523EA,C9,False,False
5,F1T_F0443A20B4FD,C2,False,False
5,F1T_17FF7A4CB912,C3,False,False
5,F1T_60493CF7828C,C16,False,False
5,F1T_47A26E9AB172,UNCERTAIN,False,True
5,F1T_EDF4D2FD4FAC,NEW_CLUSTER,True,False
5,F1T_363B6E0FC69F,C5,False,False
5,F1T_EBE6559FF572,C13,False,False
5,F1T_BD9E5FE27F08,C3,False,False
5,F1T_D75D1F6182B7,C8,False,False
5,F1T_A479D5C15B8A,C7,False,False
5,F1T_D41EAA1953CE,C12,False,False
5,F1T_CEAFAF34A4B3,C2,False,False
5,F1T_5100D7FD2358,UNCERTAIN,False,True
5,F1T_9AA0FAC9D683,C7,False,False
5,F1T_867026B085CF,NEW_CLUSTER,True,False
5,F1T_AEE8CA779A94,UNCERTAIN,False,True
5,F1T_2BD930C25BF9,C12,False,False
5,F1T_C90DFBAE9C5D,C3,False,False
5,F1T_3112B3338D8F,NEW_CLUSTER,True,False
