side,physical_run,condition,fg,canonical_replication_index,metric_id,registry_status,value,numerator,denominator,namespace,caveat
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,chain_depth,registry,1.5,,18,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,participant_turns,derived_support,27,27,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,moderator_turns,derived_support,18,18,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,participant_words,derived_support,7034,7034,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,total_words,derived_support,8455,8455,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,chain_depth_max,derived_support,5,,18,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,chain_depth_n_chains,derived_support,18,18,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run01,demographics-only,fg3,1,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
human,,human,fg5,,words_per_turn_median,registry,22,,123,_comparable_window,report with IQR and the full distribution; never the mean alone
human,,human,fg5,,words_per_turn_iqr,registry,80.0,,123,_comparable_window,
human,,human,fg5,,short_turn_proportion_25w,registry,0.5285,65,123,_comparable_window,
human,,human,fg5,,short_turn_proportion_10w,registry,0.3415,42,123,_comparable_window,sensitivity variant of the frozen 25-word threshold
human,,human,fg5,,short_turn_proportion_50w,registry,0.626,77,123,_comparable_window,sensitivity variant of the frozen 25-word threshold
human,,human,fg5,,turn_balance_gini,registry,0.185,,123,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
human,,human,fg5,,word_balance_gini,registry,0.2809,,6408,_comparable_window,raw per-participant word vector retained in structural_distributions_long
human,,human,fg5,,moderator_turn_share,registry,0.0391,5,128,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
human,,human,fg5,,moderator_word_share,registry,0.0134,87,6495,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
human,,human,fg5,,participant_participant_adjacency,registry,0.9291,118,127,_comparable_window,
human,,human,fg5,,reference_density,registry,0.187,23,123,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
human,,human,fg5,,chain_depth,registry,24.6,,5,_comparable_window,mean; the maximum and the full distribution are reported alongside
human,,human,fg5,,participant_turns,derived_support,123,123,,_comparable_window,
human,,human,fg5,,moderator_turns,derived_support,5,5,,_comparable_window,
human,,human,fg5,,participant_words,derived_support,6408,6408,,_comparable_window,
human,,human,fg5,,total_words,derived_support,6495,6495,,_comparable_window,
human,,human,fg5,,chain_depth_max,derived_support,36,,5,_comparable_window,
human,,human,fg5,,chain_depth_n_chains,derived_support,5,5,,_comparable_window,
human,,human,fg5,,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,words_per_turn_median,registry,265.0,,48,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,words_per_turn_iqr,registry,35.5,,48,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,short_turn_proportion_25w,registry,0.0,0,48,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,short_turn_proportion_10w,registry,0.0,0,48,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,short_turn_proportion_50w,registry,0.0,0,48,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,turn_balance_gini,registry,0.1,,48,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,word_balance_gini,registry,0.1021,,12479,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,moderator_turn_share,registry,0.3143,22,70,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,moderator_word_share,registry,0.0811,1101,13580,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,participant_participant_adjacency,registry,0.3768,26,69,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,reference_density,registry,0.8333,40,48,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,chain_depth,registry,2.1818,,22,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,participant_turns,derived_support,48,48,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,moderator_turns,derived_support,22,22,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,participant_words,derived_support,12479,12479,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,total_words,derived_support,13580,13580,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,chain_depth_max,derived_support,5,,22,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,chain_depth_n_chains,derived_support,22,22,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run03,demographics-only,fg3,3,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,words_per_turn_median,registry,255,,31,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,words_per_turn_iqr,registry,49.0,,31,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,short_turn_proportion_25w,registry,0.0,0,31,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,short_turn_proportion_10w,registry,0.0,0,31,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,short_turn_proportion_50w,registry,0.0,0,31,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,turn_balance_gini,registry,0.1677,,31,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,word_balance_gini,registry,0.1752,,7590,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,moderator_turn_share,registry,0.3542,17,48,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,moderator_word_share,registry,0.1228,1063,8653,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,participant_participant_adjacency,registry,0.2979,14,47,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,reference_density,registry,0.9032,28,31,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,chain_depth,registry,1.8235,,17,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,participant_turns,derived_support,31,31,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,moderator_turns,derived_support,17,17,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,participant_words,derived_support,7590,7590,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,total_words,derived_support,8653,8653,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,chain_depth_max,derived_support,5,,17,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,chain_depth_n_chains,derived_support,17,17,,_comparable_window,
synthetic,macho_meals_fg3_demoonly_run02,demographics-only,fg3,2,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
human,,human,fg3,,words_per_turn_median,registry,47.5,,98,_comparable_window,report with IQR and the full distribution; never the mean alone
human,,human,fg3,,words_per_turn_iqr,registry,116.5,,98,_comparable_window,
human,,human,fg3,,short_turn_proportion_25w,registry,0.3673,36,98,_comparable_window,
human,,human,fg3,,short_turn_proportion_10w,registry,0.2551,25,98,_comparable_window,sensitivity variant of the frozen 25-word threshold
human,,human,fg3,,short_turn_proportion_50w,registry,0.5,49,98,_comparable_window,sensitivity variant of the frozen 25-word threshold
human,,human,fg3,,turn_balance_gini,registry,0.2694,,98,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
human,,human,fg3,,word_balance_gini,registry,0.2179,,7531,_comparable_window,raw per-participant word vector retained in structural_distributions_long
human,,human,fg3,,moderator_turn_share,registry,0.0577,6,104,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
human,,human,fg3,,moderator_word_share,registry,0.0131,100,7631,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
human,,human,fg3,,participant_participant_adjacency,registry,0.8932,92,103,_comparable_window,
human,,human,fg3,,reference_density,registry,0.0612,6,98,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
human,,human,fg3,,chain_depth,registry,16.3333,,6,_comparable_window,mean; the maximum and the full distribution are reported alongside
human,,human,fg3,,participant_turns,derived_support,98,98,,_comparable_window,
human,,human,fg3,,moderator_turns,derived_support,6,6,,_comparable_window,
human,,human,fg3,,participant_words,derived_support,7531,7531,,_comparable_window,
human,,human,fg3,,total_words,derived_support,7631,7631,,_comparable_window,
human,,human,fg3,,chain_depth_max,derived_support,31,,6,_comparable_window,
human,,human,fg3,,chain_depth_n_chains,derived_support,6,6,,_comparable_window,
human,,human,fg3,,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,words_per_turn_median,registry,249.0,,24,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg3_run02,enriched,fg3,2,words_per_turn_iqr,registry,52.75,,24,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,short_turn_proportion_25w,registry,0.0,0,24,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,short_turn_proportion_10w,registry,0.0,0,24,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_run02,enriched,fg3,2,short_turn_proportion_50w,registry,0.0,0,24,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg3_run02,enriched,fg3,2,turn_balance_gini,registry,0.1833,,24,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg3_run02,enriched,fg3,2,word_balance_gini,registry,0.2496,,5577,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg3_run02,enriched,fg3,2,moderator_turn_share,registry,0.3143,11,35,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_run02,enriched,fg3,2,moderator_word_share,registry,0.105,654,6231,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg3_run02,enriched,fg3,2,participant_participant_adjacency,registry,0.3824,13,34,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,reference_density,registry,0.375,9,24,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
synthetic,macho_meals_fg3_run02,enriched,fg3,2,chain_depth,registry,2.1818,,11,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg3_run02,enriched,fg3,2,participant_turns,derived_support,24,24,,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,moderator_turns,derived_support,11,11,,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,participant_words,derived_support,5577,5577,,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,total_words,derived_support,6231,6231,,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,chain_depth_max,derived_support,4,,11,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,chain_depth_n_chains,derived_support,11,11,,_comparable_window,
synthetic,macho_meals_fg3_run02,enriched,fg3,2,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,words_per_turn_median,registry,208,,29,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg2_run01,enriched,fg2,1,words_per_turn_iqr,registry,82.5,,29,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,short_turn_proportion_25w,registry,0.0,0,29,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,short_turn_proportion_10w,registry,0.0,0,29,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg2_run01,enriched,fg2,1,short_turn_proportion_50w,registry,0.0,0,29,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg2_run01,enriched,fg2,1,turn_balance_gini,registry,0.069,,29,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg2_run01,enriched,fg2,1,word_balance_gini,registry,0.1046,,5571,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg2_run01,enriched,fg2,1,moderator_turn_share,registry,0.3095,13,42,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg2_run01,enriched,fg2,1,moderator_word_share,registry,0.0997,617,6188,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg2_run01,enriched,fg2,1,participant_participant_adjacency,registry,0.3902,16,41,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,reference_density,registry,0.2759,8,29,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
synthetic,macho_meals_fg2_run01,enriched,fg2,1,chain_depth,registry,2.2308,,13,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg2_run01,enriched,fg2,1,participant_turns,derived_support,29,29,,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,moderator_turns,derived_support,13,13,,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,participant_words,derived_support,5571,5571,,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,total_words,derived_support,6188,6188,,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,chain_depth_max,derived_support,5,,13,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,chain_depth_n_chains,derived_support,13,13,,_comparable_window,
synthetic,macho_meals_fg2_run01,enriched,fg2,1,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,words_per_turn_median,registry,248.0,,38,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,words_per_turn_iqr,registry,46.5,,38,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,short_turn_proportion_25w,registry,0.0,0,38,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,short_turn_proportion_10w,registry,0.0,0,38,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,short_turn_proportion_50w,registry,0.0,0,38,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,turn_balance_gini,registry,0.1158,,38,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,word_balance_gini,registry,0.1511,,8893,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,moderator_turn_share,registry,0.3214,18,56,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,moderator_word_share,registry,0.0974,960,9853,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,participant_participant_adjacency,registry,0.3636,20,55,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,reference_density,registry,0.5789,22,38,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. No roster name required exclusion."
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,chain_depth,registry,2.1111,,18,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,participant_turns,derived_support,38,38,,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,moderator_turns,derived_support,18,18,,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,participant_words,derived_support,8893,8893,,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,total_words,derived_support,9853,9853,,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,chain_depth_max,derived_support,5,,18,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,chain_depth_n_chains,derived_support,18,18,,_comparable_window,
synthetic,macho_meals_fg2_demoonly_run02,demographics-only,fg2,2,reference_density_ambiguous_names_excluded,derived_support,0,0,,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,words_per_turn_median,registry,252.5,,32,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg4_run04,enriched,fg4,2,words_per_turn_iqr,registry,49.75,,32,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,short_turn_proportion_25w,registry,0.0,0,32,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,short_turn_proportion_10w,registry,0.0,0,32,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg4_run04,enriched,fg4,2,short_turn_proportion_50w,registry,0.0,0,32,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg4_run04,enriched,fg4,2,turn_balance_gini,registry,0.0208,,32,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg4_run04,enriched,fg4,2,word_balance_gini,registry,0.0044,,7863,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg4_run04,enriched,fg4,2,moderator_turn_share,registry,0.3333,16,48,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg4_run04,enriched,fg4,2,moderator_word_share,registry,0.1044,917,8780,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg4_run04,enriched,fg4,2,participant_participant_adjacency,registry,0.3404,16,47,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,reference_density,registry,0.3125,10,32,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. LOWER BOUND — 1 ambiguous roster name(s) excluded: ['mark']."
synthetic,macho_meals_fg4_run04,enriched,fg4,2,chain_depth,registry,2,,16,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg4_run04,enriched,fg4,2,participant_turns,derived_support,32,32,,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,moderator_turns,derived_support,16,16,,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,participant_words,derived_support,7863,7863,,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,total_words,derived_support,8780,8780,,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,chain_depth_max,derived_support,5,,16,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,chain_depth_n_chains,derived_support,16,16,,_comparable_window,
synthetic,macho_meals_fg4_run04,enriched,fg4,2,reference_density_ambiguous_names_excluded,derived_support,1,1,,_comparable_window,excluded: ['mark']
synthetic,macho_meals_fg4_run03,enriched,fg4,3,words_per_turn_median,registry,228,,31,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg4_run03,enriched,fg4,3,words_per_turn_iqr,registry,79.0,,31,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,short_turn_proportion_25w,registry,0.0,0,31,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,short_turn_proportion_10w,registry,0.0,0,31,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg4_run03,enriched,fg4,3,short_turn_proportion_50w,registry,0.0,0,31,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg4_run03,enriched,fg4,3,turn_balance_gini,registry,0.0645,,31,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg4_run03,enriched,fg4,3,word_balance_gini,registry,0.0212,,6714,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg4_run03,enriched,fg4,3,moderator_turn_share,registry,0.3542,17,48,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg4_run03,enriched,fg4,3,moderator_word_share,registry,0.1244,954,7668,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg4_run03,enriched,fg4,3,participant_participant_adjacency,registry,0.2979,14,47,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,reference_density,registry,0.3548,11,31,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. LOWER BOUND — 1 ambiguous roster name(s) excluded: ['mark']."
synthetic,macho_meals_fg4_run03,enriched,fg4,3,chain_depth,registry,1.8235,,17,_comparable_window,mean; the maximum and the full distribution are reported alongside
synthetic,macho_meals_fg4_run03,enriched,fg4,3,participant_turns,derived_support,31,31,,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,moderator_turns,derived_support,17,17,,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,participant_words,derived_support,6714,6714,,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,total_words,derived_support,7668,7668,,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,chain_depth_max,derived_support,5,,17,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,chain_depth_n_chains,derived_support,17,17,,_comparable_window,
synthetic,macho_meals_fg4_run03,enriched,fg4,3,reference_density_ambiguous_names_excluded,derived_support,1,1,,_comparable_window,excluded: ['mark']
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,words_per_turn_median,registry,244,,27,_comparable_window,report with IQR and the full distribution; never the mean alone
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,words_per_turn_iqr,registry,38.0,,27,_comparable_window,
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,short_turn_proportion_25w,registry,0.0,0,27,_comparable_window,
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,short_turn_proportion_10w,registry,0.0,0,27,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,short_turn_proportion_50w,registry,0.0,0,27,_comparable_window,sensitivity variant of the frozen 25-word threshold
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,turn_balance_gini,registry,0.0,,27,_comparable_window,raw per-participant turn vector retained in structural_distributions_long
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,word_balance_gini,registry,0.0226,,6422,_comparable_window,raw per-participant word vector retained in structural_distributions_long
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,moderator_turn_share,registry,0.3415,14,41,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,moderator_word_share,registry,0.1016,726,7148,_comparable_window,affected by the sub-entry Q1 boundary: the dropped prefix is moderator text
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,participant_participant_adjacency,registry,0.325,13,40,_comparable_window,
synthetic,macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,reference_density,registry,0.5556,15,27,_comparable_window,"DIAGNOSTIC. Explicit first-name token match on the run roster only: misses pronominal, positional and indirect reference, so it understates real referencing. LOWER BOUND — 1 ambiguous roster name(s) excluded: ['mark']."
