physical_run,condition,fg,canonical_replication_index,metric_id,k_excerpts,k_reason,n_eligible_starts,mean,sd,min,max,n_undefined,target_words,achieved_words_mean,achieved_over_target_min,achieved_over_target_median,achieved_over_target_max,length_match_tolerance,n_excerpts_within_tolerance,namespace,caveat
macho_meals_fg4_run04,enriched,fg4,2,evidence_localized_length_matched_recall,10,,31,0.2833,0.0805,0.1667,0.3333,0,3440,3299.2,0.9358,0.9502,0.9997,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_run04,enriched,fg4,2,evidence_localized_length_matched_precision,10,,31,0.65,0.254,0.3333,1.0,0,3440,3299.2,0.9358,0.9502,0.9997,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_run03,enriched,fg4,3,evidence_localized_length_matched_recall,10,,31,0.1,0.0861,0.0,0.1667,0,3440,3364.9,0.9398,0.9815,1.0,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_run03,enriched,fg4,3,evidence_localized_length_matched_precision,10,,31,0.2333,0.2108,0.0,0.5,0,3440,3364.9,0.9398,0.9815,1.0,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,evidence_localized_length_matched_recall,10,,24,0.0,0.0,0.0,0.0,0,3440,3347.1,0.9244,0.9778,0.9994,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_demoonly_run01,demographics-only,fg4,1,evidence_localized_length_matched_precision,10,,24,0.0,0.0,0.0,0.0,1,3440,3347.1,0.9244,0.9778,0.9994,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_run03,enriched,fg2,3,evidence_localized_length_matched_recall,10,,38,0.0572,0.0738,0.0,0.1429,0,2963,2816.1,0.9119,0.959,0.9976,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_run03,enriched,fg2,3,evidence_localized_length_matched_precision,10,,38,0.25,0.2673,0.0,0.5,2,2963,2816.1,0.9119,0.959,0.9976,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_run02,enriched,fg1,2,evidence_localized_length_matched_recall,10,,34,0.2125,0.1868,0.0,0.375,0,2916,2781.6,0.9132,0.9447,0.9969,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_run02,enriched,fg1,2,evidence_localized_length_matched_precision,10,,34,1.0,0.0,1.0,1.0,4,2916,2781.6,0.9132,0.9447,0.9969,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_run04,enriched,fg5,3,evidence_localized_length_matched_recall,10,,20,0.38,0.0632,0.2,0.4,0,6495,6300.1,0.9193,0.9755,0.9852,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_run04,enriched,fg5,3,evidence_localized_length_matched_precision,10,,20,1.0,0.0,1.0,1.0,0,6495,6300.1,0.9193,0.9755,0.9852,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_demoonly_run01,demographics-only,fg2,1,evidence_localized_length_matched_recall,10,,35,0.2857,0.1782,0.0,0.4286,0,2963,2834,0.9268,0.9506,0.998,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_demoonly_run01,demographics-only,fg2,1,evidence_localized_length_matched_precision,10,,35,0.5833,0.331,0.0,1.0,0,2963,2834,0.9268,0.9506,0.998,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_demoonly_run02,demographics-only,fg1,2,evidence_localized_length_matched_recall,10,,36,0.25,0.1179,0.125,0.375,0,2916,2817.1,0.9119,0.9674,0.9949,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_demoonly_run02,demographics-only,fg1,2,evidence_localized_length_matched_precision,10,,36,1.0,0.0,1.0,1.0,0,2916,2817.1,0.9119,0.9674,0.9949,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_run02,enriched,fg2,2,evidence_localized_length_matched_recall,10,,49,0.2714,0.0811,0.1429,0.4286,0,2963,2824,0.9092,0.9526,0.9993,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_run02,enriched,fg2,2,evidence_localized_length_matched_precision,10,,49,0.6667,0.1361,0.5,1.0,0,2963,2824,0.9092,0.9526,0.9993,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_demoonly_run02,demographics-only,fg5,2,evidence_localized_length_matched_recall,10,,18,0.6,0.0,0.6,0.6,0,6495,6359.4,0.9326,0.9857,0.996,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_demoonly_run02,demographics-only,fg5,2,evidence_localized_length_matched_precision,10,,18,1.0,0.0,1.0,1.0,0,6495,6359.4,0.9326,0.9857,0.996,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_demoonly_run03,demographics-only,fg1,3,evidence_localized_length_matched_recall,10,,41,0.175,0.1054,0.0,0.25,0,2916,2838.3,0.9376,0.9748,0.9966,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_demoonly_run03,demographics-only,fg1,3,evidence_localized_length_matched_precision,10,,41,1.0,0.0,1.0,1.0,2,2916,2838.3,0.9376,0.9748,0.9966,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_demoonly_run03,demographics-only,fg4,3,evidence_localized_length_matched_recall,10,,26,0.0,0.0,0.0,0.0,0,3440,3343.5,0.9497,0.9718,0.9991,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_demoonly_run03,demographics-only,fg4,3,evidence_localized_length_matched_precision,10,,26,0.0,0.0,0.0,0.0,1,3440,3343.5,0.9497,0.9718,0.9991,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_demoonly_run01,demographics-only,fg5,1,evidence_localized_length_matched_recall,10,,11,0.56,0.0843,0.4,0.6,0,6495,6309.2,0.9232,0.9704,0.9998,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_demoonly_run01,demographics-only,fg5,1,evidence_localized_length_matched_precision,10,,11,0.6133,0.0281,0.6,0.6667,0,6495,6309.2,0.9232,0.9704,0.9998,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_run01,enriched,fg5,1,evidence_localized_length_matched_recall,10,,11,0.66,0.1897,0.4,0.8,0,6495,6269.1,0.9095,0.9714,0.9983,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_run01,enriched,fg5,1,evidence_localized_length_matched_precision,10,,11,1.0,0.0,1.0,1.0,0,6495,6269.1,0.9095,0.9714,0.9983,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_run03,enriched,fg3,3,evidence_localized_length_matched_recall,10,,13,0.37,0.0483,0.3,0.4,0,7631,7436.9,0.9372,0.9783,0.9931,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_run03,enriched,fg3,3,evidence_localized_length_matched_precision,10,,13,1.0,0.0,1.0,1.0,0,7631,7436.9,0.9372,0.9783,0.9931,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_demoonly_run02,demographics-only,fg4,2,evidence_localized_length_matched_recall,10,,22,0.0,0.0,0.0,0.0,0,3440,3288.5,0.932,0.9535,0.9919,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_demoonly_run02,demographics-only,fg4,2,evidence_localized_length_matched_precision,10,,22,0.0,0.0,0.0,0.0,0,3440,3288.5,0.932,0.9535,0.9919,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_run01,enriched,fg4,1,evidence_localized_length_matched_recall,10,,20,0.1167,0.0805,0.0,0.1667,0,3440,3322,0.9337,0.9751,0.989,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg4_run01,enriched,fg4,1,evidence_localized_length_matched_precision,10,,20,0.2333,0.161,0.0,0.3333,0,3440,3322,0.9337,0.9751,0.989,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_demoonly_run03,demographics-only,fg5,3,evidence_localized_length_matched_recall,10,,10,0.4,0.0,0.4,0.4,0,6495,6323.5,0.9025,0.9845,0.9965,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_demoonly_run03,demographics-only,fg5,3,evidence_localized_length_matched_precision,10,,10,1.0,0.0,1.0,1.0,0,6495,6323.5,0.9025,0.9845,0.9965,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_run03,enriched,fg1,3,evidence_localized_length_matched_recall,10,,37,0.3,0.1054,0.125,0.375,0,2916,2803.3,0.9276,0.962,0.9945,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_run03,enriched,fg1,3,evidence_localized_length_matched_precision,10,,37,1.0,0.0,1.0,1.0,0,2916,2803.3,0.9276,0.962,0.9945,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_demoonly_run03,demographics-only,fg2,3,evidence_localized_length_matched_recall,10,,32,0.2,0.1205,0.1429,0.4286,0,2963,2838,0.9099,0.9621,0.9933,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg2_demoonly_run03,demographics-only,fg2,3,evidence_localized_length_matched_precision,10,,32,0.575,0.1687,0.5,1.0,0,2963,2838,0.9099,0.9621,0.9933,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_demoonly_run01,demographics-only,fg1,1,evidence_localized_length_matched_recall,10,,60,0.0875,0.1029,0.0,0.25,0,2916,2835.8,0.916,0.9863,0.9997,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_demoonly_run01,demographics-only,fg1,1,evidence_localized_length_matched_precision,10,,60,1.0,0.0,1.0,1.0,5,2916,2835.8,0.916,0.9863,0.9997,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_run01,enriched,fg1,1,evidence_localized_length_matched_recall,10,,42,0.2625,0.071,0.125,0.375,0,2916,2796.1,0.9366,0.9522,0.9859,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg1_run01,enriched,fg1,1,evidence_localized_length_matched_precision,10,,42,1.0,0.0,1.0,1.0,0,2916,2796.1,0.9366,0.9522,0.9859,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_run01,enriched,fg3,1,evidence_localized_length_matched_recall,10,,16,0.4,0.0,0.4,0.4,0,7631,7454.5,0.9537,0.9747,0.9996,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg3_run01,enriched,fg3,1,evidence_localized_length_matched_precision,10,,16,1.0,0.0,1.0,1.0,0,7631,7454.5,0.9537,0.9747,0.9996,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_run03,enriched,fg5,2,evidence_localized_length_matched_recall,10,,22,0.6,0.0,0.6,0.6,0,6495,6361.9,0.963,0.979,0.9992,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
macho_meals_fg5_run03,enriched,fg5,2,evidence_localized_length_matched_precision,10,,22,0.75,0.0,0.75,0.75,0,6495,6361.9,0.963,0.979,0.9992,0.9,10,_comparable_window,"PROXY, NOT tier1_length_matched_*: measures where already-coded evidence falls, derived from verified quote positions in the full-window Tier-1 result. The evaluator read the whole window, so this is a different estimand from coding the excerpt independently. tier1_length_matched_recall/_precision remain DEFERRED_NOT_IMPLEMENTED"
