physical_run,condition,fg,canonical_replication_index,namespace,human_present_n,synthetic_present_n,shared_n,tier1_subtheme_recall,tier1_matched_theme_precision,tier1_f1_secondary,tier1_theme_level_recall,tier1_theme_level_precision,tier1_participant_reach,tier1_salience_hierarchy,tier1_salience_hierarchy_n_shared,tier1_salience_hierarchy_n_excluded,tier1_salience_hierarchy_n_excluded_unverified,tier1_salience_hierarchy_n_excluded_reach_missing,tier1_salience_hierarchy_undefined_reason,length_ratio_synthetic_to_human,participants_n,reach_implementation_caveat,quote_verification_rate,code_preservation_rate,demoted_codes,window_words,window_participant_turns,window_moderator_turns,transcript_sha256,cache_key
macho_meals_fg1_run02,enriched,fg1,2,_comparable_window,8,3,3,0.375,1.0,0.5455,0.6667,1.0,0.6,0.5,3,0,0,0,,2.7023,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,a9558195b7692927fc500d58be26feb7d4f8915cf7e19b2f9d6dd7b8f3943702,5482cd47c0f915e28fadd91c27d8c0e015d240e74f76a8701bbf4e1014c7b93e
macho_meals_fg5_run04,enriched,fg5,3,_comparable_window,5,2,2,0.4,1.0,0.5714,0.6667,1.0,0.75,-1.0,2,0,0,0,,1.3687,4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,41385e8e8a755d371cf897a41ee093849ed204a262c7a3617357999884c5dae7,5ad0f6e28a8f38e6e47fcfc3402a19851c0895f878caae2489be2fccc81f3fa5
macho_meals_fg2_demoonly_run01,demographics-only,fg2,1,_comparable_window,7,5,4,0.5714,0.8,0.6666,0.75,1.0,0.4,-0.3333,4,0,0,0,,2.7131,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,8239d45a6f22a643284c184fca913628b4594e146a438fcd72d601af2ea7907f,6892624db50985541fa807795a21ac3d045b45ac96be6f28eb06c30162cb19f5
macho_meals_fg1_demoonly_run02,demographics-only,fg1,2,_comparable_window,8,4,4,0.5,1.0,0.6667,1.0,1.0,0.45,0.8165,4,0,0,0,,2.8868,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,f5d5dde7a2d15973e5643ff80ded0876ec5c53f5cdeadee4cb69365662b8378d,80f75f85a195839cb83ae0a740b7bf5e1c982e6017995fedecf7447b8218ea70
macho_meals_fg2_run02,enriched,fg2,2,_comparable_window,7,5,4,0.5714,0.8,0.6666,0.75,1.0,0.6,-0.8333,4,0,0,0,,3.3412,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,2d46968f884dfc9e6b089fa880725737378194948cc96653b3e10848573339d5,82dce974c72f74abcb7e036afdc982b97feb389847b1495c979c4d6f36851596
macho_meals_fg5_demoonly_run02,demographics-only,fg5,2,_comparable_window,5,3,3,0.6,1.0,0.75,0.6667,1.0,0.5833,-0.5,3,0,0,0,,1.3623,4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,ce56edb75a341b496d457137f43d36e495b699f5fb567db9ebca0ff1bf91c790,8676eb35f0095ead6bb79729666785d6ab58bdc164cc4e822b7e0af8d34f3b85
macho_meals_fg1_demoonly_run03,demographics-only,fg1,3,_comparable_window,8,2,2,0.25,1.0,0.4,0.6667,1.0,0.7,,2,0,0,0,"reach_ranks_fully_tied — the Spearman denominator is 0, so no correlation exists",2.9901,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,20d7c034cb0c39a873a15fe6edd2b2fc601181b61c729b30f2a1e5d0c6ce3366,873db8a5bf5383f76459320a60e3588f6d8809a53441cf4a4c16c0bcf97a43a9
macho_meals_fg4_demoonly_run03,demographics-only,fg4,3,_comparable_window,6,2,0,0.0,0.0,0.0,0.5,1.0,1.0,,0,0,0,0,fewer_than_2_shared_eligible_subthemes (n=0; 0 code(s) excluded as unverified or reach-missing),2.161,3,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,c85d760a501d359d184d541489d25f5ab310188a69871f059ca93f15e528e300,91386fee6dc40cae7521a6c0d168577a81182deb250b95a7b90d7673f0280224
macho_meals_fg5_demoonly_run01,demographics-only,fg5,1,_comparable_window,5,5,3,0.6,0.6,0.6,0.6667,0.6667,0.45,-0.5,3,0,0,0,,1.1567,4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,7eb57c73126286306edc4e0daf33a879796aa5ca59a3fb031e73123e86f790a2,92c65f30fd35419388051ea9b8213b0750d76e146dc05c338eefcd8e110ce857
macho_meals_fg5_run01,enriched,fg5,1,_comparable_window,5,4,4,0.8,1.0,0.8889,1.0,1.0,0.8125,-0.5443,4,0,0,0,,1.2293,4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,9fdb5a807e52330eb3cb0aed0e9871e3f1f9a6fca7c99184d851badbe4fec5ce,9b388b3714e7251d63dd27d49905446ed8446ce1176170ee16ff2211ab99154b
macho_meals_fg3_run03,enriched,fg3,3,_comparable_window,10,4,4,0.4,1.0,0.5714,0.5,1.0,0.7,0.8165,4,0,0,0,,1.1562,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,1cc065e485a75e5ac6ffb329bd2b89f532e20e96c0ccd33e89073b6612acbf10,9fd438face38840244746e97344b99f3cd06153586ac63703f85d8d0cc10227e
macho_meals_fg4_demoonly_run02,demographics-only,fg4,2,_comparable_window,6,2,0,0.0,0.0,0.0,0.5,1.0,1.0,,0,0,0,0,fewer_than_2_shared_eligible_subthemes (n=0; 0 code(s) excluded as unverified or reach-missing),1.7727,3,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,8cac8cec15b494fff2f355c64d703a88ebda4b40ded72da7e90e13aa6b6ac3e5,9fec9d40f78fa394c59b99355a9997a67b0b32f81729500e8ef74b103ec929cb
macho_meals_fg4_run01,enriched,fg4,1,_comparable_window,6,3,1,0.1667,0.3333,0.2222,0.5,1.0,0.8889,,1,0,0,0,fewer_than_2_shared_eligible_subthemes (n=1; 0 code(s) excluded as unverified or reach-missing),1.6872,3,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,768c02e900e43996f160e9a5572c46f2254c4d5530555d72136533354c607c3f,a7fc4436c1c0e9f579192937c2e32e0358aac8d8b4dcf27afdac980c0d107066
macho_meals_fg5_demoonly_run03,demographics-only,fg5,3,_comparable_window,5,2,2,0.4,1.0,0.5714,0.6667,1.0,0.625,-1.0,2,0,0,0,,1.1447,4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,e0fb98bd11bf10eff2ec3812d8ffb985b6a91714d28f9f9c5a4fcfe3c7277e6c,b66f87e6fa24e1343b43d80e65c3c2e80b7f0ad90761b47eec01d03f5d6fb7d1
macho_meals_fg1_run03,enriched,fg1,3,_comparable_window,8,3,3,0.375,1.0,0.5455,0.6667,1.0,0.9333,-0.5,3,0,0,0,,3.1036,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,f34368ba6433e7c8d671c20afd498154610af0082165c139a5aaeed468eb2cdf,d1cc1f9f8bcb8989057746114a8bf118e85d5be67ab5b384245799222b070021
macho_meals_fg2_demoonly_run03,demographics-only,fg2,3,_comparable_window,7,4,3,0.4286,0.75,0.5455,0.75,1.0,0.5,-0.5,3,0,0,0,,2.3375,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,42bfd1fc761d29698d391810f5bb044d96f6bb117128472199977e249e75bf98,e2ee95c8e8a58b4f93094288b843c9bf7ac4480658297eb9b17ab2cd3b28db31
macho_meals_fg1_demoonly_run01,demographics-only,fg1,1,_comparable_window,8,2,2,0.25,1.0,0.4,0.6667,1.0,0.6,,2,0,0,0,"reach_ranks_fully_tied — the Spearman denominator is 0, so no correlation exists",5.1903,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,a68930e5b8cf7b283eb7d5d97a0e9915dbabf301cd91e5f9be810a156522a9cc,e4dbf3d9990468d517b4a07a72740a04328037c8ef4d4ffa81e02bf7afaf84d9
macho_meals_fg1_run01,enriched,fg1,1,_comparable_window,8,3,3,0.375,1.0,0.5455,0.6667,1.0,0.9333,-0.5,3,0,0,0,,3.2507,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,43ebff26d04867f0552723313779e03a56fa7f377e2295267ff0929a2814ce97,ece349ee78dfec43d718e5457282df1ceaaf3445428470a2b26e8d157c38920f
macho_meals_fg3_run01,enriched,fg3,1,_comparable_window,10,4,4,0.4,1.0,0.5714,0.75,1.0,0.75,0.8165,4,0,0,0,,1.2998,5,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,35d22075e4823baeafef6632bad40f41b24f371aa625c5a27e62026b2cf2bfd0,f224905a711823ab7c9e3ccc03b132599bdca1d881cd096dfaef6b9fd99778aa
macho_meals_fg5_run03,enriched,fg5,2,_comparable_window,5,4,3,0.6,0.75,0.6667,0.6667,1.0,0.6875,1.0,3,0,0,0,,1.3637,4,14 canonical enriched runs executed the pre-fix engagement path; reach depends on who spoke — see frozen_evaluation_spec.md §9,1.0,1.0,0,,,,3ae78f408e5e92b64551363a22e99524f2733faedd188adddb1c6d51c2ebf590,fb510bde9d02ffb22d2c417e9815e2f9bd223490992aeb3cbb1f6f9f1c5d9143
